"date","temp","tmin","tmax"
2004-01-01,-0.227,-1.23,-0.01
2004-01-02,-0.499,-2.06,-0.05
2004-01-03,-2.956,-5.82,-2.19
2004-01-04,-4.209,-10.45,-1.48
2004-01-05,-1.192,-8.1,0.53
2004-01-06,-1.58,-7.24,0.35
2004-01-07,1.095,-4.35,4.14
2004-01-08,-0.817,-2.68,1
2004-01-09,5.113,0.89,6.48
2004-01-10,6.463,3.98,7.47
2004-01-11,6.792,4.37,9.69
2004-01-12,6.296,5.67,11.59
2004-01-13,10.868,6.68,11.79
2004-01-14,6.648,2.73,9.17
2004-01-15,2.849,0.46,4.13
2004-01-16,3.814,0.04,5.82
2004-01-17,5.229,3.06,7.04
2004-01-18,3.609,1.31,4.31
2004-01-19,1.226,-1.21,2.33
2004-01-20,1.605,0.01,3.33
2004-01-21,2.115,-2.44,4.26
2004-01-22,0.777,-3.97,3.57
2004-01-23,0.687,-5.56,3.1
2004-01-24,-0.325,-7.12,2.2
2004-01-25,2.435,-2.01,4.56
2004-01-26,-0.851,-1.8,1.11
2004-01-27,0.611,-1.5,1.45
2004-01-28,-0.782,-2.98,0.08
2004-01-29,-1.529,-3.36,-0.86
2004-01-30,-2.627,-7.8,0.32
2004-01-31,2.971,-8.89,9.42
2004-02-01,9.206,0.93,12.48
2004-02-02,6.592,-0.7,10.97
2004-02-03,5.863,-3.92,11.66
2004-02-04,5.974,-5.08,12.2
2004-02-05,6.54,-2.29,12.55
2004-02-06,5.775,-2.1,10.84
2004-02-07,8.788,3.53,10.75
2004-02-08,4.095,2.53,5.25
2004-02-09,4.515,-1.73,6.91
2004-02-10,3.227,-5.02,7
2004-02-11,1.389,0.28,3.1
2004-02-12,3.841,0.41,5.36
2004-02-13,5.082,-1.9,8.78
2004-02-14,3.506,-0.33,5.89
2004-02-15,3.445,-0.17,5.362
2004-02-16,3.445,0.536,7.514
2004-02-17,1.346,-0.68,8.107
2004-02-18,1.346,-0.488,3.684
2004-02-19,1.355,-0.696,1.75
2004-02-20,3.467,-0.81,7.32
2004-02-21,4.666,-1.22,7.54
2004-02-22,6.111,0.48,8.69
2004-02-23,-0.691,-6.78,2.7
2004-02-24,0.385,-9.41,6.73
2004-02-25,-0.37,-10.75,7.68
2004-02-26,-0.084,-6.4,5.26
2004-02-27,0.612,-8.61,5.08
2004-02-28,0.287,-11.41,6.87
2004-02-29,-0.914,-8.69,2.12
