"date","wind_velocity_ms"
2004-01-01,1.52
2004-01-02,2.022
2004-01-03,2.716
2004-01-04,1.089
2004-01-05,0.675
2004-01-06,0.701
2004-01-07,0.489
2004-01-08,1.594
2004-01-09,3.297
2004-01-10,2.168
2004-01-11,4.154
2004-01-12,5.439
2004-01-13,5.309
2004-01-14,4.248
2004-01-15,3.608
2004-01-16,5.258
2004-01-17,3.461
2004-01-18,2.724
2004-01-19,2.504
2004-01-20,3.863
2004-01-21,0.93
2004-01-22,1.091
2004-01-23,1.665
2004-01-24,1.393
2004-01-25,1.309
2004-01-26,1.548
2004-01-27,2.09
2004-01-28,2.965
2004-01-29,3.455
2004-01-30,1.843
2004-01-31,2.221
2004-02-01,3.378
2004-02-02,1.182
2004-02-03,0.717
2004-02-04,0.979
2004-02-05,1.221
2004-02-06,1.252
2004-02-07,4.309
2004-02-08,5.312
2004-02-09,2.753
2004-02-10,0.908
2004-02-11,2.152
2004-02-12,2.065
2004-02-13,1.41
2004-02-14,0.965
2004-02-15,0.887
2004-02-16,2.936
2004-02-17,1.345
2004-02-18,2.172
2004-02-19,6.134
2004-02-20,2.67
2004-02-21,1.365
2004-02-22,1.142
2004-02-23,2.033
2004-02-24,0.704
2004-02-25,0.734
2004-02-26,1.529
2004-02-27,0.689
2004-02-28,0.684
2004-02-29,1.976
2004-03-01,4.395
2004-03-02,1.403
2004-03-03,0.756
2004-03-04,0.563
2004-03-05,0.881
2004-03-06,2.143
2004-03-07,0.764
2004-03-08,1.266
2004-03-09,1.949
2004-03-10,2.189
2004-03-11,0.944
2004-03-12,0.734
2004-03-13,1.394
2004-03-14,1.653
2004-03-15,0.993
2004-03-16,0.485
2004-03-17,0.773
2004-03-18,1.542
2004-03-19,2.531
2004-03-20,5.517
2004-03-21,4.529
2004-03-22,3.091
2004-03-23,1.062
2004-03-24,1.471
2004-03-25,2.031
2004-03-26,3.568
2004-03-27,2.364
2004-03-28,0.67
2004-03-29,2.52
2004-03-30,1.454
2004-03-31,0.834
2004-04-01,1.336
2004-04-02,1.831
2004-04-03,2.579
2004-04-04,2.259
2004-04-05,4.037
2004-04-06,3.248
2004-04-07,2.168
2004-04-08,1.261
2004-04-09,3.011
2004-04-10,1.928
2004-04-11,1.634
2004-04-12,3.046
2004-04-13,1.859
2004-04-14,1.871
2004-04-15,0.877
2004-04-16,1.705
2004-04-17,1.856
2004-04-18,2.332
2004-04-19,1.436
2004-04-20,1.342
2004-04-21,0.552
2004-04-22,1.547
2004-04-23,2.998
2004-04-24,2.307
2004-04-25,3.406
2004-04-26,2.72
2004-04-27,0.964
2004-04-28,2.143
2004-04-29,1.677
2004-04-30,1.577
2004-05-01,1.22
2004-05-02,0.71
2004-05-03,0.972
2004-05-04,0.982
2004-05-05,1.206
2004-05-06,1.256
2004-05-07,1.621
2004-05-08,3.526
2004-05-09,2.701
2004-05-10,0.534
2004-05-11,0.601
2004-05-12,2.034
2004-05-13,1.671
2004-05-14,1.327
2004-05-15,1.296
2004-05-16,1.315
2004-05-17,1.792
2004-05-18,1.259
2004-05-19,0.876
2004-05-20,1.053
2004-05-21,1.084
2004-05-22,1.889
2004-05-23,1.374
2004-05-24,1.386
2004-05-25,0.67
2004-05-26,0.804
2004-05-27,0.759
2004-05-28,1.001
2004-05-29,1.173
2004-05-30,0.973
2004-05-31,0.599
2004-06-01,0.41
2004-06-02,0.969
2004-06-03,1.063
2004-06-04,0.778
2004-06-05,0.946
2004-06-06,1.352
2004-06-07,0.419
2004-06-08,0.45
2004-06-09,0.87
2004-06-10,0.949
2004-06-11,0.756
2004-06-12,2.019
2004-06-13,0.8
2004-06-14,1.837
2004-06-15,0.613
2004-06-16,0.756
2004-06-17,0.834
2004-06-18,1.84
2004-06-19,0.872
2004-06-20,0.697
2004-06-21,1.008
2004-06-22,0.84
2004-06-23,1.99
2004-06-24,2.074
2004-06-25,1.429
2004-06-26,0.463
2004-06-27,0.972
2004-06-28,1.732
2004-06-29,0.736
2004-06-30,0.531
2004-07-01,1.259
2004-07-02,1.207
2004-07-03,1.381
2004-07-04,0.945
2004-07-05,1.229
2004-07-06,0.829
2004-07-07,0.565
2004-07-08,1.408
2004-07-09,1.899
2004-07-10,1.167
2004-07-11,1.02
2004-07-12,0.897
2004-07-13,0.719
2004-07-14,0.775
2004-07-15,1.116
2004-07-16,0.587
2004-07-17,0.885
2004-07-18,0.815
2004-07-19,0.349
2004-07-20,0.986
2004-07-21,0.704
2004-07-22,0.738
2004-07-23,0.913
2004-07-24,1.316
2004-07-25,1.424
2004-07-26,1.645
2004-07-27,0.854
2004-07-28,1.436
2004-07-29,0.761
2004-07-30,0.856
2004-07-31,0.471
2004-08-01,0.592
2004-08-02,0.506
2004-08-03,1.045
2004-08-04,1.41
2004-08-05,1.825
2004-08-06,1.138
2004-08-07,1.148
2004-08-08,1.108
2004-08-09,1.074
2004-08-10,1.401
2004-08-11,0.794
2004-08-12,1.617
2004-08-13,2.273
2004-08-14,1.92
2004-08-15,0.724
2004-08-16,1.114
2004-08-17,0.785
2004-08-18,1.28
2004-08-19,1.344
2004-08-20,2.011
2004-08-21,2.429
2004-08-22,1.135
2004-08-23,1.17
2004-08-24,1.845
2004-08-25,1.972
2004-08-26,1.79
2004-08-27,1.417
2004-08-28,1.657
2004-08-29,1.113
2004-08-30,3.018
2004-08-31,1.067
2004-09-01,1.318
2004-09-02,0.747
2004-09-03,0.828
2004-09-04,1.464
2004-09-05,2.078
2004-09-06,0.857
2004-09-07,1.377
2004-09-08,1.843
2004-09-09,1.644
2004-09-10,0.833
2004-09-11,1.435
2004-09-12,2.361
2004-09-13,1.477
2004-09-14,0.921
2004-09-15,1.503
2004-09-16,2.049
2004-09-17,1.143
2004-09-18,0.692
2004-09-19,1.29
2004-09-20,1.741
2004-09-21,3.552
2004-09-22,3.299
2004-09-23,4.696
2004-09-24,2.044
2004-09-25,1.651
2004-09-26,1.003
2004-09-27,0.838
2004-09-28,0.797
2004-09-29,1.377
2004-09-30,0.737
2004-10-01,1.153
2004-10-02,1.047
2004-10-03,0.751
2004-10-04,0.902
2004-10-05,1.002
2004-10-06,1.267
2004-10-07,1.327
2004-10-08,0.916
2004-10-09,2.084
2004-10-10,1.931
2004-10-11,2.288
2004-10-12,1.193
2004-10-13,0.71
2004-10-14,1.079
2004-10-15,1.424
2004-10-16,1.552
2004-10-17,3.066
2004-10-18,2.415
2004-10-19,0.943
2004-10-20,0.805
2004-10-21,1.05
2004-10-22,0.475
2004-10-23,0.967
2004-10-24,1.212
2004-10-25,1.26
2004-10-26,1.667
2004-10-27,1.067
2004-10-28,0.782
2004-10-29,0.896
2004-10-30,1.385
2004-10-31,2.535
2004-11-01,1.137
2004-11-02,0.935
2004-11-03,0.801
2004-11-04,0.925
2004-11-05,2.022
2004-11-06,0.669
2004-11-07,0.881
2004-11-08,0.596
2004-11-09,1.848
2004-11-10,0.921
2004-11-11,1.794
2004-11-12,1.126
2004-11-13,1.278
2004-11-14,3.689
2004-11-15,2.943
2004-11-16,0.648
2004-11-17,1.677
2004-11-18,3.005
2004-11-19,3.493
2004-11-20,1.84
2004-11-21,1.235
2004-11-22,2.261
2004-11-23,1.785
2004-11-24,2.41
2004-11-25,1.162
2004-11-26,0.964
2004-11-27,0.584
2004-11-28,0.939
2004-11-29,2.181
2004-11-30,1.815
2004-12-01,0.865
2004-12-02,0.824
2004-12-03,0.655
2004-12-04,2.356
2004-12-05,1.687
2004-12-06,3.084
2004-12-07,1.34
2004-12-08,2.683
2004-12-09,1.567
2004-12-10,0.924
2004-12-11,0.738
2004-12-12,1.133
2004-12-13,1.336
2004-12-14,0.932
2004-12-15,1.163
2004-12-16,1.366
2004-12-17,4.227
2004-12-18,2.905
2004-12-19,3.85
2004-12-20,3.971
2004-12-21,0.872
2004-12-22,1.785
2004-12-23,4.193
2004-12-24,3.772
2004-12-25,1.73
2004-12-26,0.818
2004-12-27,0.925
2004-12-28,2.21
2004-12-29,0.89
2004-12-30,0.427
2004-12-31,1.364
2005-01-01,1.558
2005-01-02,4.407
