"date","PPFD_IN","PPFD_IN_QC","PPFD_DIF","PPFD_DIF_QC"
2004-01-01,-9999,0,-9999,0
2004-01-02,-9999,0,-9999,0
2004-01-03,-9999,0,-9999,0
2004-01-04,-9999,0,-9999,0
2004-01-05,-9999,0,-9999,0
2004-01-06,-9999,0,-9999,0
2004-01-07,-9999,-9999,-9999,-9999
2004-01-08,-9999,0,-9999,0
2004-01-09,-9999,0,-9999,0
2004-01-10,-9999,0,-9999,0
2004-01-11,-9999,0,-9999,0
2004-01-12,-9999,0,-9999,0
2004-01-13,-9999,0,-9999,0
2004-01-14,-9999,-9999,-9999,-9999
2004-01-15,-9999,0,-9999,0
2004-01-16,-9999,0,-9999,0
2004-01-17,-9999,0,-9999,0
2004-01-18,-9999,0,-9999,0
2004-01-19,-9999,0,-9999,0
2004-01-20,-9999,0,-9999,0
2004-01-21,-9999,-9999,-9999,-9999
2004-01-22,-9999,0,-9999,0
2004-01-23,-9999,0,-9999,0
2004-01-24,-9999,0,-9999,0
2004-01-25,-9999,0,-9999,0
2004-01-26,-9999,0,-9999,0
2004-01-27,-9999,0,-9999,0
2004-01-28,91.1127484583333,1,-9999,-9999
2004-01-29,68.5848641708333,1,-9999,0
2004-01-30,177.763341060417,1,-9999,0
2004-01-31,190.3329689875,1,-9999,0
2004-02-01,202.373186083333,1,-9999,0
2004-02-02,155.431533583333,1,-9999,0
2004-02-03,188.983895979167,1,-9999,0
2004-02-04,198.08703554375,1,-9999,-9999
2004-02-05,209.614123645833,1,-9999,0
2004-02-06,195.108785808333,1,-9999,0
2004-02-07,110.60417725,1,-9999,0
2004-02-08,45.4874954166667,1,-9999,0
2004-02-09,231.329729854167,1,-9999,0
2004-02-10,205.152131145833,1,-9999,0
2004-02-11,63.8957153520833,1,-9999,-9999
2004-02-12,115.90029810625,1,-9999,0
2004-02-13,223.810404791667,1,-9999,0
2004-02-14,84.2227629354167,1,-9999,0
2004-02-15,-9999,0,-9999,0
2004-02-16,-9999,0,-9999,0
2004-02-17,-9999,0,-9999,0
2004-02-18,-9999,-9999,-9999,-9999
2004-02-19,47.4442957631579,0.791666666666667,-9999,0
2004-02-20,193.5805338125,1,-9999,0
2004-02-21,106.280134125,1,-9999,0
2004-02-22,72.7746976104167,1,-9999,0
2004-02-23,46.7931832916667,1,-9999,0
2004-02-24,190.264544552083,1,-9999,0
2004-02-25,240.641347393617,0.979166666666667,-9999,-9999
2004-02-26,123.604634391667,1,-9999,0
2004-02-27,255.034077,1,-9999,0
2004-02-28,276.134167625,1,-9999,0
2004-02-29,252.2251534375,1,-9999,0
2004-03-01,294.554885020833,1,-9999,0
2004-03-02,213.016053479167,1,-9999,0
2004-03-03,344.695982058542,1,-9999,-9999
2004-03-04,177.359493270833,1,-9999,0
2004-03-05,89.2094387291667,1,-9999,0
2004-03-06,105.8813483125,1,-9999,0
2004-03-07,171.4751440625,1,-9999,0
2004-03-08,148.001075625,1,-9999,0
2004-03-09,329.4808284375,1,-9999,0
2004-03-10,254.476730979167,1,-9999,-9999
2004-03-11,132.8947455625,1,-9999,0
2004-03-12,178.10644,1,-9999,0
2004-03-13,136.2864945,1,-9999,0
2004-03-14,213.135404625,1,-9999,0
2004-03-15,334.46923334375,1,-9999,0
2004-03-16,380.102485833333,1,-9999,0
2004-03-17,364.270896458333,1,-9999,-9999
2004-03-18,323.854817291667,1,-9999,0
2004-03-19,291.22780525,1,-9999,0
2004-03-20,126.290978958333,1,-9999,0
2004-03-21,175.6822494375,1,-9999,0
2004-03-22,319.29448625,1,-9999,0
2004-03-23,124.250600416667,1,-9999,0
2004-03-24,104.3591782,0.833333333333333,-9999,-9999
2004-03-25,-9999,0,-9999,0
2004-03-26,-9999,0,-9999,0
2004-03-27,-9999,0,-9999,0
2004-03-28,-9999,0,-9999,0
2004-03-29,442.673558958333,1,-9999,0
2004-03-30,410.565861666667,1,-9999,0
2004-03-31,431.463851458333,1,-9999,-9999
2004-04-01,435.339096458333,1,-9999,0
2004-04-02,418.364157979167,1,-9999,0
