"TIMESTAMP","netrad","netrad_method","netrad_approx","netrad_simple","netrad_energy_balance"
2004-01-01,1.33971,"Energy Balance",30.3051521754781,25.6662,1.33971
2004-01-02,-4.38167,"Energy Balance",34.6715904670576,28.0546,-4.38167
2004-01-03,-4.58373,"Energy Balance",16.3275198273349,28.1029,-4.58373
2004-01-04,-9.01879,"Energy Balance",28.2096093626436,37.5893,-9.01879
2004-01-05,-6.9123683,"Energy Balance",36.5221892882714,26.5216,-6.9123683
2004-01-06,-11.30939,"Energy Balance",32.1218936049601,34.3105,-11.30939
2004-01-07,-8.68313,"Energy Balance",15.7821274902371,28.2786,-8.68313
2004-01-08,1.31376,"Energy Balance",22.575123399599,12.0281,1.31376
2004-01-09,-22.97744,"Energy Balance",22.2694774255595,13.5093,-22.97744
2004-01-10,9.6856,"Energy Balance",30.1606201023574,27.3273,9.6856
2004-01-11,0.75995,"Energy Balance",8.81601460709766,10.759,0.75995
2004-01-12,-13.71797,"Energy Balance",-1.88150228067968,4.8685,-13.71797
2004-01-13,4.9709,"Energy Balance",3.73320715988967,3.4531,4.9709
2004-01-14,23.54232,"Energy Balance",6.37207941931297,32.7698,23.54232
2004-01-15,-0.939,"Energy Balance",-5.18603999998362,17.71,-0.939
2004-01-16,-11.15699,"Energy Balance",1.80720341731569,12.4677,-11.15699
2004-01-17,11.21068,"Energy Balance",20.341135819718,24.7408,11.21068
2004-01-18,3.6893,"Energy Balance",12.4449512901973,13.2524,3.6893
2004-01-19,7.48061,"Energy Balance",9.12573380589492,33.2556,7.48061
2004-01-20,-2.0302,"Energy Balance",24.9797870300279,11.4534,-2.0302
2004-01-21,-13.08777,"Energy Balance",47.9264903201557,31.5154,-13.08777
2004-01-22,-8.48013,"Energy Balance",28.4051649114255,52.3299,-8.48013
2004-01-23,-10.74086,"Energy Balance",9.91617699643456,60.0152,-10.74086
2004-01-24,-11.23944,"Energy Balance",23.2861441579271,40.4355,-11.23944
2004-01-25,-9.45489,"Energy Balance",24.4547415009136,41.6199,-9.45489
2004-01-26,-10.13089,"Energy Balance",29.5222984201243,24.1647,-10.13089
2004-01-27,-8.58907,"Energy Balance",37.889827182096,22.0157,-8.58907
2004-01-28,-12.45895,"Energy Balance",43.7983231511675,33.0232,-12.45895
2004-01-29,-18.98145,"Energy Balance",13.0187753745491,23.8182,-18.98145
2004-01-30,-25.66471,"Energy Balance",20.2093871564432,69.7417,-25.66471
2004-01-31,-42.30885,"Energy Balance",29.8651214842656,71.7857,-42.30885
2004-02-01,-80.26201,"Energy Balance",1.43523689199623,73.2809,-80.26201
2004-02-02,-22.468709,"Energy Balance",-0.0652009164347191,61.5223,-22.468709
2004-02-03,-13.56195,"Energy Balance",13.4953299476206,73.6428,-13.56195
2004-02-04,-3.51834,"Energy Balance",8.17785563346666,80.1269,-3.51834
2004-02-05,-22.6999,"Energy Balance",11.6629134247682,79.4619,-22.6999
2004-02-06,-10.04706,"Energy Balance",17.2991111426071,74.3421,-10.04706
2004-02-07,7.97171,"Energy Balance",16.8668325652588,40.9514,7.97171
2004-02-08,-12.68231,"Energy Balance",8.83749203957353,15.1214,-12.68231
2004-02-09,33.45223,"Energy Balance",25.8456221515217,85.9383,33.45223
2004-02-10,11.41653,"Energy Balance",18.3905265193868,81.0453,11.41653
