"TIMESTAMP","PA_F_kpa","PA_F_pa"
2004-01-01,95.825,95825
2004-01-02,95.455,95455
2004-01-03,96.232,96232
2004-01-04,96.367,96367
2004-01-05,96.71,96710
2004-01-06,96.656,96656
2004-01-07,96.475,96475
2004-01-08,95.852,95852
2004-01-09,95.465,95465
2004-01-10,96.15,96150
2004-01-11,96.056,96056
2004-01-12,95.398,95398
2004-01-13,94.675,94675
2004-01-14,94.977,94977
2004-01-15,95.514,95514
2004-01-16,95.1,95100
2004-01-17,94.725,94725
2004-01-18,95.534,95534
2004-01-19,96.453,96453
2004-01-20,95.584,95584
2004-01-21,96.076,96076
2004-01-22,96.412,96412
2004-01-23,96.161,96161
2004-01-24,96.02,96020
2004-01-25,96.01,96010
2004-01-26,94.805,94805
2004-01-27,94.474,94474
2004-01-28,94.871,94871
2004-01-29,95.153,95153
2004-01-30,96.318,96318
2004-01-31,96.177,96177
2004-02-01,96.923,96923
2004-02-02,97.329,97329
2004-02-03,97.706,97706
2004-02-04,97.838,97838
2004-02-05,97.691,97691
2004-02-06,97.137,97137
2004-02-07,96.649,96649
2004-02-08,96.546,96546
2004-02-09,97.482,97482
2004-02-10,97.588,97588
2004-02-11,96.98,96980
2004-02-12,97.318,97318
2004-02-13,97.487,97487
2004-02-14,96.932,96932
2004-02-15,96.692,96692
2004-02-16,96.817,96817
2004-02-17,96.956,96956
2004-02-18,96.493,96493
2004-02-19,95.621,95621
2004-02-20,95.974,95974
2004-02-21,95.368,95368
2004-02-22,95.023,95023
2004-02-23,95.441,95441
2004-02-24,96.052,96052
2004-02-25,95.445,95445
2004-02-26,94.747,94747
2004-02-27,94.414,94414
2004-02-28,94.72,94720
2004-02-29,95.612,95612
2004-03-01,96.655,96655
2004-03-02,97.387,97387
2004-03-03,97.441,97441
2004-03-04,96.925,96925
2004-03-05,96.287,96287
2004-03-06,96.247,96247
2004-03-07,96.63,96630
2004-03-08,96.773,96773
2004-03-09,96.817,96817
2004-03-10,96.323,96323
2004-03-11,96.216,96216
2004-03-12,95.975,95975
2004-03-13,96.407,96407
2004-03-14,97.323,97323
2004-03-15,97.79,97790
2004-03-16,97.822,97822
2004-03-17,97.568,97568
2004-03-18,97.141,97141
2004-03-19,96.971,96971
2004-03-20,96.672,96672
2004-03-21,96.047,96047
2004-03-22,95.936,95936
2004-03-23,95.556,95556
2004-03-24,95.568,95568
2004-03-25,95.862,95862
2004-03-26,95.796,95796
2004-03-27,95.777,95777
2004-03-28,96.207,96207
2004-03-29,96.279,96279
2004-03-30,95.836,95836
2004-03-31,95.781,95781
2004-04-01,95.647,95647
2004-04-02,95.696,95696
2004-04-03,96.757,96757
2004-04-04,96.872,96872
2004-04-05,96.371,96371
2004-04-06,95.492,95492
2004-04-07,95.482,95482
2004-04-08,95.874,95874
2004-04-09,95.513,95513
2004-04-10,95.537,95537
2004-04-11,96.11,96110
2004-04-12,96.296,96296
2004-04-13,96.224,96224
2004-04-14,96.321,96321
2004-04-15,96.442,96442
2004-04-16,95.865,95865
2004-04-17,95.212,95212
2004-04-18,94.457,94457
2004-04-19,94.629,94629
2004-04-20,95.354,95354
2004-04-21,96.081,96081
2004-04-22,96.014,96014
2004-04-23,96.332,96332
2004-04-24,96.694,96694
2004-04-25,96.741,96741
