date,fapar
2004-01-01,0.02
2004-01-09,0.09
2004-01-17,0
2004-01-25,0
2004-02-02,0.37
2004-02-10,0.45
2004-02-18,0.13
2004-02-26,0.15
2004-03-05,0.37
2004-03-13,0.46
2004-03-21,0.36
2004-03-29,0.57
2004-04-06,0.6
2004-04-14,0.47
2004-04-22,0.68
2004-04-30,0.66
2004-05-08,0.67
2004-05-16,0.78
2004-05-24,0.76
2004-06-01,0.77
2004-06-09,0.78
2004-06-17,0.2
2004-06-25,0.55
2004-07-03,0.71
2004-07-11,0.62
2004-07-19,0.64
2004-07-27,0.57
2004-08-04,0.52
2004-08-12,0.51
2004-08-20,0.64
2004-08-28,0.54
2004-09-05,0.57
2004-09-13,0.65
2004-09-21,0.71
2004-09-29,0.74
2004-10-07,0.2
2004-10-15,0.76
2004-10-23,0.7
2004-10-31,0.14
2004-11-08,0.61
2004-11-16,0.41
2004-11-24,0.51
2004-12-02,0.17
2004-12-10,0.03
2004-12-18,0.56
2004-12-26,0.05
2005-01-01,0.25
2005-01-09,0.46
2005-01-17,0
2005-01-25,0.02
2005-02-02,0.04
2005-02-10,0.09
2005-02-18,0.02
2005-02-26,0.01
2005-03-06,0.04
2005-03-14,0.36
2005-03-22,0.14
2005-03-30,0.56
2005-04-07,0.36
2005-04-15,0.74
2005-04-23,0.55
2005-05-01,0.68
2005-05-09,0.61
2005-05-17,0.6
2005-05-25,0.72
2005-06-02,0.66
2005-06-10,0.93
2005-06-18,0.7
2005-06-26,0.55
2005-07-04,0.54
2005-07-12,0.62
2005-07-20,0.57
2005-07-28,0.56
2005-08-05,0.62
2005-08-13,0.66
2005-08-21,0.67
2005-08-29,0.65
2005-09-06,0.65
2005-09-14,0.66
2005-09-22,0.65
2005-09-30,0.65
2005-10-08,0.65
2005-10-16,0.15
2005-10-24,0.57
2005-11-01,0.54
2005-11-09,0.08
2005-11-17,0.53
2005-11-25,0.01
2005-12-03,0.09
2005-12-11,0.52
2005-12-19,0.02
2005-12-27,0.05
2006-01-01,0.05
2006-01-09,0.06
2006-01-17,0.48
2006-01-25,0.35
2006-02-02,0.27
2006-02-10,0.34
2006-02-18,0.26
2006-02-26,0.15
2006-03-06,0.03
2006-03-14,0.26
2006-03-22,0.29
2006-03-30,0.47
2006-04-07,0.51
2006-04-15,0.69
2006-04-23,0.38
2006-05-01,0.68
2006-05-09,0.77
2006-05-17,0.44
2006-05-25,0.32
2006-06-02,0.73
2006-06-10,0.72
2006-06-18,0.67
2006-06-26,0.66
2006-07-04,0.62
2006-07-12,0.54
2006-07-20,0.48
2006-07-28,0.47
2006-08-05,0.54
2006-08-13,0.65
2006-08-21,0.55
2006-08-29,0.67
2006-09-06,0.67
2006-09-14,0.66
2006-09-22,0.65
2006-09-30,0.74
2006-10-08,0.69
2006-10-16,0.56
2006-10-24,0.64
2006-11-01,0.61
2006-11-09,0.6
2006-11-17,0.52
2006-11-25,0.57
2006-12-03,0.2
2006-12-11,0.64
2006-12-19,0.58
2006-12-27,0.5
2007-01-01,0.14
2007-01-09,0.56
2007-01-17,0.29
2007-01-25,0.45
2007-02-02,0.55
2007-02-10,0.56
2007-02-18,0.56
2007-02-26,0.57
2007-03-06,0.63
2007-03-14,0.57
2007-03-22,0.6
2007-03-30,0.68
2007-04-07,0.7
2007-04-15,0.76
2007-04-23,0.74
2007-05-01,0.77
2007-05-09,0.3
2007-05-17,0.77
2007-05-25,0.67
2007-06-02,0.7
2007-06-10,0.65
2007-06-18,0.64
2007-06-26,0.6
2007-07-04,0.33
2007-07-12,0.53
2007-07-20,0.62
2007-07-28,0.65
2007-08-05,0.59
2007-08-13,0.56
2007-08-21,0.6
2007-08-29,0.56
2007-09-06,0.72
2007-09-14,0.68
2007-09-22,0.67
2007-09-30,0.69
2007-10-08,0.59
2007-10-16,0.64
2007-10-24,0.09
2007-11-01,0.56
2007-11-09,0.26
2007-11-17,0.25
2007-11-25,0.42
2007-12-03,0.45
2007-12-11,0.08
2007-12-19,0.03
2007-12-27,0.33
2008-01-01,0.42
2008-01-09,0.19
2008-01-17,0.41
2008-01-25,0.36
2008-02-02,0.45
2008-02-10,0.39
2008-02-18,0.4
2008-02-26,0.35
2008-03-05,0.46
2008-03-13,0.35
2008-03-21,0.14
2008-03-29,0.58
2008-04-06,0.57
2008-04-14,0.29
2008-04-22,0.67
2008-04-30,0.72
2008-05-08,0.71
2008-05-16,0.65
2008-05-24,0.71
2008-06-01,0.65
2008-06-09,0.82
2008-06-17,0.71
2008-06-25,0.6
2008-07-03,0.61
2008-07-11,0.6
