xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,calendar_date,tile,proc_date,pixel,value,fapar_fraction_value,value_fraction
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004001,2004-01-01,h18v04,2020118210600,1,2,0.02,0.02
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004009,2004-01-09,h18v04,2020119031803,1,9,0.09,0.09
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004017,2004-01-17,h18v04,2020119091144,1,0,0,0
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004025,2004-01-25,h18v04,2020119143127,1,0,0,0
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004033,2004-02-02,h18v04,2020119201250,1,37,0.37,0.37
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004041,2004-02-10,h18v04,2020120022149,1,45,0.45,0.45
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004049,2004-02-18,h18v04,2020120063640,1,13,0.13,0.13
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004057,2004-02-26,h18v04,2020120100631,1,15,0.15,0.15
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004065,2004-03-05,h18v04,2020120185304,1,37,0.37,0.37
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004073,2004-03-13,h18v04,2020121050745,1,46,0.46,0.46
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004081,2004-03-21,h18v04,2020121204819,1,36,0.36,0.36
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004089,2004-03-29,h18v04,2020122050915,1,57,0.57,0.57
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004097,2004-04-06,h18v04,2020122180508,1,60,0.6,0.6
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004105,2004-04-14,h18v04,2020123073322,1,47,0.47,0.47
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004113,2004-04-22,h18v04,2020123201727,1,68,0.68,0.68
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004121,2004-04-30,h18v04,2020124110449,1,66,0.66,0.66
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004129,2004-05-08,h18v04,2020124182139,1,67,0.67,0.67
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004137,2004-05-16,h18v04,2020124233811,1,78,0.78,0.78
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004145,2004-05-24,h18v04,2020125051201,1,76,0.76,0.76
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004153,2004-06-01,h18v04,2020125113552,1,77,0.77,0.77
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004161,2004-06-09,h18v04,2020128215352,1,78,0.78,0.78
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004169,2004-06-17,h18v04,2020172014319,1,20,0.2,0.2
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004177,2004-06-25,h18v04,2020174180752,1,55,0.55,0.55
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004185,2004-07-03,h18v04,2020181043205,1,71,0.71,0.71
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004193,2004-07-11,h18v04,2020183053102,1,62,0.62,0.62
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004201,2004-07-19,h18v04,2020188194336,1,64,0.64,0.64
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004209,2004-07-27,h18v04,2020190215400,1,57,0.57,0.57
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004217,2004-08-04,h18v04,2020195191650,1,52,0.52,0.52
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004225,2004-08-12,h18v04,2020198200755,1,51,0.51,0.51
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004233,2004-08-20,h18v04,2020199061213,1,64,0.64,0.64
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004241,2004-08-28,h18v04,2020200015803,1,54,0.54,0.54
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004249,2004-09-05,h18v04,2020200112952,1,57,0.57,0.57
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004257,2004-09-13,h18v04,2020202054433,1,65,0.65,0.65
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004265,2004-09-21,h18v04,2020202142229,1,71,0.71,0.71
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004273,2004-09-29,h18v04,2020204194629,1,74,0.74,0.74
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004281,2004-10-07,h18v04,2020205055136,1,20,0.2,0.2
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004289,2004-10-15,h18v04,2020206021304,1,76,0.76,0.76
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004297,2004-10-23,h18v04,2020207032533,1,70,0.7,0.7
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004305,2004-10-31,h18v04,2020209031013,1,14,0.14,0.14
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004313,2004-11-08,h18v04,2020209174108,1,61,0.61,0.61
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004321,2004-11-16,h18v04,2020210065751,1,41,0.41,0.41
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004329,2004-11-24,h18v04,2020211231415,1,51,0.51,0.51
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004337,2004-12-02,h18v04,2020212094609,1,17,0.17,0.17
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004345,2004-12-10,h18v04,2020212213815,1,3,0.03,0.03
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004353,2004-12-18,h18v04,2020213054953,1,56,0.56,0.56
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004361,2004-12-26,h18v04,2020213201932,1,5,0.05,0.05
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2005001,2005-01-01,h18v04,2020216133759,1,25,0.25,0.25
