"TIMESTAMP","CO2_F_MDS"
2004-01-01,384.872
2004-01-02,377.952
2004-01-03,385.627
2004-01-04,402.001
2004-01-05,437.166
2004-01-06,507.266
2004-01-07,460.733
2004-01-08,441.904
2004-01-09,372.384
2004-01-10,375.783
2004-01-11,379.899
2004-01-12,367.16
2004-01-13,359.14
2004-01-14,362.185
2004-01-15,361.072
2004-01-16,360.743
2004-01-17,351.131
2004-01-18,353.05
2004-01-19,363.353
2004-01-20,366.601
2004-01-21,370.63
2004-01-22,379.875
2004-01-23,398.623
2004-01-24,384.122
2004-01-25,372.351
2004-01-26,351.717
2004-01-27,361.525
2004-01-28,361.021
2004-01-29,369.241
2004-01-30,385.88
2004-01-31,396.829
2004-02-01,374.931
2004-02-02,398.431
2004-02-03,396.704
2004-02-04,431.557
2004-02-05,414.28
2004-02-06,402.632
2004-02-07,367.168
2004-02-08,363.385
2004-02-09,369.727
2004-02-10,395.651
2004-02-11,377.269
2004-02-12,376.868
2004-02-13,393.697
2004-02-14,402.83
2004-02-15,395.72
2004-02-16,380.776
2004-02-17,388.775
2004-02-18,387.962
2004-02-19,370.797
2004-02-20,377.496
2004-02-21,393.912
2004-02-22,408.582
2004-02-23,384.394
2004-02-24,447.476
2004-02-25,580.665
2004-02-26,442.302
2004-02-27,400.181
2004-02-28,492.453
2004-02-29,483.536
2004-03-01,373.467
2004-03-02,377.081
2004-03-03,387.063
2004-03-04,404.884
2004-03-05,405.559
2004-03-06,376.796
2004-03-07,378.186
2004-03-08,369.257
2004-03-09,378.112
2004-03-10,376.644
2004-03-11,394.595
2004-03-12,384.449
2004-03-13,382.386
2004-03-14,364.268
2004-03-15,376.277
2004-03-16,386.705
2004-03-17,399.095
2004-03-18,403.978
2004-03-19,387.722
2004-03-20,368.719
2004-03-21,366.799
2004-03-22,372.266
2004-03-23,376.282
2004-03-24,378.83
2004-03-25,375.67
2004-03-26,372.826
2004-03-27,382.792
2004-03-28,392.616
2004-03-29,394.387
2004-03-30,395.833
2004-03-31,399.598
2004-04-01,400.945
2004-04-02,407.079
2004-04-03,353.198
2004-04-04,394.08
2004-04-05,363.676
2004-04-06,354.915
2004-04-07,350.564
2004-04-08,368.001
2004-04-09,375.54
2004-04-10,343.44
2004-04-11,367.64
2004-04-12,373.282
2004-04-13,376.615
2004-04-14,387.109
2004-04-15,399.119
2004-04-16,396.147
2004-04-17,404.425
2004-04-18,365.43
2004-04-19,372.848
2004-04-20,385.046
2004-04-21,413.458
2004-04-22,404.189
2004-04-23,385.117
2004-04-24,370.46
2004-04-25,372.746
2004-04-26,367.093
2004-04-27,373.617
2004-04-28,373.444
2004-04-29,380.555
2004-04-30,416.832
2004-05-01,386.813
2004-05-02,415.613
2004-05-03,402.805
2004-05-04,433.113
2004-05-05,378.94
2004-05-06,376.295
2004-05-07,379.158
2004-05-08,395.323
2004-05-09,479.249
2004-05-10,385.383
2004-05-11,432.701
2004-05-12,416.798
2004-05-13,367.5
2004-05-14,385.172
2004-05-15,390.138
2004-05-16,404.007
2004-05-17,392.722
2004-05-18,413.054
2004-05-19,409.905
2004-05-20,413.174
2004-05-21,421.835
2004-05-22,380.747
2004-05-23,365.935
2004-05-24,382.071
2004-05-25,401.269
2004-05-26,404.34
2004-05-27,387.896
2004-05-28,391.455
2004-05-29,404.221
2004-05-30,404.946
2004-05-31,369.321
2004-06-01,393.363
2004-06-02,364.275
2004-06-03,394.647
2004-06-04,381.406
2004-06-05,390.479
2004-06-06,404.032
2004-06-07,435.528
2004-06-08,448.156
2004-06-09,425.023
2004-06-10,427.313
2004-06-11,445.561
2004-06-12,382.131
2004-06-13,371.728
2004-06-14,392.816
2004-06-15,386.144
2004-06-16,397.101
2004-06-17,400.858
2004-06-18,381.004
2004-06-19,393.025
2004-06-20,352.352
2004-06-21,376.799
2004-06-22,405.148
2004-06-23,384.391
2004-06-24,358.052
2004-06-25,376.718
2004-06-26,412.627
2004-06-27,412.944
2004-06-28,357.867
2004-06-29,370.188
2004-06-30,415.386
2004-07-01,405.247
2004-07-02,395.943
2004-07-03,387.842
2004-07-04,418.331
2004-07-05,392.486
2004-07-06,376.399
2004-07-07,401.177
2004-07-08,371.384
2004-07-09,387.909
2004-07-10,398.921
2004-07-11,404.898
2004-07-12,396.186
2004-07-13,414.767
2004-07-14,362.533
2004-07-15,373.621
2004-07-16,415.23
2004-07-17,385.032
2004-07-18,414.372
2004-07-19,417.241
2004-07-20,451.382
2004-07-21,394.807
2004-07-22,407.457
2004-07-23,432.964
2004-07-24,405.795
2004-07-25,365.875
2004-07-26,376.06
2004-07-27,368.679
2004-07-28,372.521
2004-07-29,401.192
2004-07-30,419.293
2004-07-31,430.184
2004-08-01,431.295
2004-08-02,435.583
2004-08-03,428.584
2004-08-04,367.644
2004-08-05,370.876
2004-08-06,381.292
2004-08-07,399.295
2004-08-08,404.115
2004-08-09,396.434
2004-08-10,393.075
2004-08-11,413.058
2004-08-12,425.095
2004-08-13,370.837
2004-08-14,350.424
2004-08-15,395.647
2004-08-16,393.756
2004-08-17,392.616
2004-08-18,376.685
2004-08-19,368.405
2004-08-20,376.141
2004-08-21,379.241
2004-08-22,380.866
2004-08-23,376.795
2004-08-24,372.258
2004-08-25,366.961
2004-08-26,381.104
2004-08-27,402.083
2004-08-28,410.968
2004-08-29,409.578
2004-08-30,411.981
2004-08-31,389.011
2004-09-01,398.28
2004-09-02,392.723
2004-09-03,402.759
2004-09-04,419.117
2004-09-05,374.79
2004-09-06,408.188
2004-09-07,402.132
2004-09-08,397.688
2004-09-09,374.52
2004-09-10,413.427
2004-09-11,391.828
2004-09-12,380.038
2004-09-13,390.025
2004-09-14,405.009
2004-09-15,394.608
2004-09-16,391.504
2004-09-17,382.02
2004-09-18,377.718
2004-09-19,376.857
2004-09-20,372.888
2004-09-21,360.987
2004-09-22,360.064
2004-09-23,365.144
2004-09-24,370.906
2004-09-25,380.596
2004-09-26,368.807
2004-09-27,378.86
2004-09-28,384.135
2004-09-29,389.053
2004-09-30,385.949
2004-10-01,398.099
2004-10-02,391.292
2004-10-03,390.859
2004-10-04,405.583
2004-10-05,403.699
2004-10-06,415.352
2004-10-07,413.219
2004-10-08,410.429
2004-10-09,428.565
2004-10-10,443.309
2004-10-11,445.523
2004-10-12,437.064
2004-10-13,461.502
2004-10-14,441.317
2004-10-15,457.69
2004-10-16,419.929
2004-10-17,469.572
2004-10-18,410.526
2004-10-19,488.931
2004-10-20,442.753
2004-10-21,407.802
2004-10-22,390.6
2004-10-23,417.307
2004-10-24,409.957
2004-10-25,421.349
2004-10-26,448.64
2004-10-27,379.606
2004-10-28,456.434
2004-10-29,396.034
2004-10-30,366.843
2004-10-31,417.805
2004-11-01,409.589
2004-11-02,410.066
2004-11-03,415.418
2004-11-04,391.976
2004-11-05,390.304
2004-11-06,365.801
2004-11-07,382.316
2004-11-08,370.566
2004-11-09,374.733
2004-11-10,409.421
2004-11-11,394.167
2004-11-12,387.252
2004-11-13,387.297
2004-11-14,363.834
2004-11-15,374.485
2004-11-16,457.441
2004-11-17,391.395
2004-11-18,373.843
2004-11-19,425.787
2004-11-20,386.402
2004-11-21,368.781
2004-11-22,403.142
2004-11-23,417.62
2004-11-24,401.576
2004-11-25,374.265
2004-11-26,411.181
2004-11-27,451.762
2004-11-28,416.135
2004-11-29,470.355
2004-11-30,376.923
2004-12-01,406.18
2004-12-02,412.413
2004-12-03,456.906
2004-12-04,394.814
2004-12-05,376.697
2004-12-06,369.42
2004-12-07,380.917
2004-12-08,385.297
2004-12-09,388.192
2004-12-10,399.299
2004-12-11,402.814
2004-12-12,407.058
2004-12-13,404.234
2004-12-14,404.44
2004-12-15,408.559
2004-12-16,411.455
2004-12-17,436.989
2004-12-18,373.076
2004-12-19,416.872
2004-12-20,376.386
2004-12-21,387.081
2004-12-22,391.153
2004-12-23,390.225
2004-12-24,374.335
2004-12-25,421.695
2004-12-26,454.099
2004-12-27,382.603
2004-12-28,409.722
2004-12-29,404.735
2004-12-30,497.417
2004-12-31,508.282
2005-01-01,427.422
2005-01-02,417.124
2005-01-03,413.256
2005-01-04,405.219
2005-01-05,414.884
2005-01-06,443.024
2005-01-07,388.846
2005-01-08,382.275
2005-01-09,386.913
2005-01-10,410.369
2005-01-11,403.654
2005-01-12,506.421
2005-01-13,391.367
2005-01-14,459.212
2005-01-15,497.479
2005-01-16,394.939
2005-01-17,401.199
2005-01-18,421.235
2005-01-19,393.441
2005-01-20,394.552
2005-01-21,425.376
2005-01-22,404.12
2005-01-23,398.883
2005-01-24,383.762
2005-01-25,378.35
2005-01-26,376.277
2005-01-27,388.976
2005-01-28,407.998
2005-01-29,373.136
2005-01-30,385.431
2005-01-31,409.961
2005-02-01,383.122
2005-02-02,488.332
2005-02-03,397.261
2005-02-04,405.77
2005-02-05,416.54
2005-02-06,402.389
2005-02-07,425.154
2005-02-08,562.045
2005-02-09,520.873
2005-02-10,475.356
2005-02-11,495.122
2005-02-12,491.945
2005-02-13,436.319
2005-02-14,395.095
2005-02-15,419.198
2005-02-16,383.072
2005-02-17,385.757
2005-02-18,437.906
2005-02-19,390.797
2005-02-20,422.252
2005-02-21,580.73
2005-02-22,411.449
2005-02-23,414.99
2005-02-24,497.892
2005-02-25,455.915
2005-02-26,412.886
2005-02-27,386.049
2005-02-28,372.784
2005-03-01,465.717
2005-03-02,558.622
2005-03-03,440.888
2005-03-04,407.464
2005-03-05,410.065
2005-03-06,396.202
2005-03-07,419.61
2005-03-08,368.514
2005-03-09,391.711
2005-03-10,386.076
2005-03-11,431.7
2005-03-12,383.668
2005-03-13,388.212
2005-03-14,399.349
2005-03-15,396.44
2005-03-16,387.539
2005-03-17,398.116
2005-03-18,404.904
2005-03-19,400.043
2005-03-20,387.06
2005-03-21,393.23
2005-03-22,420.156
2005-03-23,398.531
2005-03-24,387.104
2005-03-25,404.386
2005-03-26,418.74
2005-03-27,383.471
2005-03-28,389.701
2005-03-29,429.18
2005-03-30,435.156
2005-03-31,413.968
2005-04-01,450.751
2005-04-02,414.616
2005-04-03,419.508
2005-04-04,417.565
2005-04-05,415.08
2005-04-06,405.072
2005-04-07,392.102
2005-04-08,398.054
2005-04-09,401.653
2005-04-10,377.182
2005-04-11,375.026
2005-04-12,385.712
2005-04-13,421.303
2005-04-14,478.47
2005-04-15,396.473
2005-04-16,385.893
2005-04-17,401.094
2005-04-18,393.909
2005-04-19,403.679
2005-04-20,406.37
2005-04-21,391.822
2005-04-22,404.872
2005-04-23,435.906
2005-04-24,464.351
2005-04-25,425.358
2005-04-26,399.136
2005-04-27,497.263
2005-04-28,417.23
2005-04-29,423.613
2005-04-30,452.022
2005-05-01,466.629
2005-05-02,465.864
2005-05-03,473.796
2005-05-04,406.947
2005-05-05,416.915
2005-05-06,387.727
2005-05-07,438.481
2005-05-08,369.764
2005-05-09,400.044
2005-05-10,401.787
2005-05-11,386.727
2005-05-12,376.544
2005-05-13,437.515
2005-05-14,434.485
2005-05-15,392.272
2005-05-16,437.663
2005-05-17,368.457
2005-05-18,391.926
2005-05-19,440.481
2005-05-20,404.48
