"date","rain_mm"
2004-01-01,1.6
2004-01-02,0.5
2004-01-03,0
2004-01-04,0
2004-01-05,0
2004-01-06,0
2004-01-07,0.4
2004-01-08,16.6
2004-01-09,8.9
2004-01-10,7.8
2004-01-11,9.2
2004-01-12,16.9
2004-01-13,46.4
2004-01-14,4.8
2004-01-15,0.8
2004-01-16,7.9
2004-01-17,8.9
2004-01-18,5.4
2004-01-19,0.1
2004-01-20,6.5
2004-01-21,0
2004-01-22,0
2004-01-23,0
2004-01-24,0.6
2004-01-25,0
2004-01-26,2.9
2004-01-27,6.9
2004-01-28,0
2004-01-29,0.1
2004-01-30,0
2004-01-31,0.1
2004-02-01,0
2004-02-02,0
2004-02-03,0
2004-02-04,0
2004-02-05,0
2004-02-06,0
2004-02-07,0.8
2004-02-08,7
2004-02-09,0.3
2004-02-10,0
2004-02-11,0.9
2004-02-12,0
2004-02-13,0
2004-02-14,0
2004-02-15,0.052
2004-02-16,0
2004-02-17,0.018
2004-02-18,0.699
2004-02-19,0.16
2004-02-20,0
2004-02-21,0
2004-02-22,3.4
2004-02-23,9
2004-02-24,0
2004-02-25,0
2004-02-26,0
2004-02-27,0
2004-02-28,0
2004-02-29,0
2004-03-01,0
2004-03-02,0
2004-03-03,0
2004-03-04,0
2004-03-05,0.1
2004-03-06,3.9
2004-03-07,0
2004-03-08,1
2004-03-09,0
2004-03-10,0
2004-03-11,0
2004-03-12,0.3
2004-03-13,5.9
2004-03-14,5.1
2004-03-15,0
2004-03-16,0
2004-03-17,0
2004-03-18,0
2004-03-19,0
2004-03-20,1.5
2004-03-21,0.5
2004-03-22,3.5
2004-03-23,7.9
2004-03-24,7.018
2004-03-25,6.187
2004-03-26,0.367
2004-03-27,0.013
2004-03-28,0
2004-03-29,0
2004-03-30,0
2004-03-31,0
2004-04-01,0
2004-04-02,0
2004-04-03,0.1
2004-04-04,0.3
2004-04-05,1.2
2004-04-06,7.5
2004-04-07,1.5
2004-04-08,0.6
2004-04-09,0
2004-04-10,3.1
2004-04-11,1.9
2004-04-12,0
2004-04-13,0
2004-04-14,0
2004-04-15,0
2004-04-16,0
2004-04-17,3.1
2004-04-18,2.7
2004-04-19,1.2
2004-04-20,0
2004-04-21,0
2004-04-22,0
2004-04-23,0
2004-04-24,0
2004-04-25,0
2004-04-26,0
2004-04-27,0.864
2004-04-28,0.105
2004-04-29,0
2004-04-30,0
2004-05-01,0.3
2004-05-02,0
2004-05-03,0.603
2004-05-04,5.1
2004-05-05,18.9
2004-05-06,4.2
2004-05-07,1.1
2004-05-08,17
2004-05-09,17.5
2004-05-10,0
2004-05-11,0
2004-05-12,0
2004-05-13,0
2004-05-14,0
2004-05-15,0
2004-05-16,0
2004-05-17,0
2004-05-18,0
2004-05-19,0
2004-05-20,0
2004-05-21,13.4
2004-05-22,3.5
2004-05-23,0
2004-05-24,0
2004-05-25,0
2004-05-26,0
2004-05-27,1.3
2004-05-28,0.1
2004-05-29,0
2004-05-30,0
2004-05-31,6.5
2004-06-01,19.9
2004-06-02,10.5
2004-06-03,13.5
2004-06-04,4.6
2004-06-05,0.7
2004-06-06,0
2004-06-07,0
2004-06-08,0
2004-06-09,0
2004-06-10,0
2004-06-11,9.7
2004-06-12,4.6
2004-06-13,9.9
2004-06-14,0.1
2004-06-15,0
2004-06-16,0
2004-06-17,0
2004-06-18,0
2004-06-19,3.8
2004-06-20,1
2004-06-21,0
2004-06-22,3.9
2004-06-23,11
2004-06-24,0.1
2004-06-25,0
2004-06-26,0
2004-06-27,7.2
2004-06-28,0
2004-06-29,0
2004-06-30,0
2004-07-01,0
2004-07-02,0.3
2004-07-03,0
2004-07-04,0
2004-07-05,10
2004-07-06,1.9
2004-07-07,0.9
2004-07-08,30.033
2004-07-09,0.9
2004-07-10,14.8
2004-07-11,3.1
2004-07-12,1.4
2004-07-13,2.7
2004-07-14,0
2004-07-15,0
2004-07-16,0
2004-07-17,3
2004-07-18,1.1
2004-07-19,0.3
2004-07-20,2.3
2004-07-21,1.9
2004-07-22,7
2004-07-23,0
2004-07-24,2.2
2004-07-25,0
2004-07-26,0
2004-07-27,0
2004-07-28,0
2004-07-29,0
2004-07-30,0
2004-07-31,0
2004-08-01,0
2004-08-02,0
2004-08-03,8.8
2004-08-04,5.2
2004-08-05,0
2004-08-06,1
2004-08-07,0
2004-08-08,2.7
2004-08-09,0
2004-08-10,1.2
2004-08-11,6.8
2004-08-12,0.3
2004-08-13,1.447
2004-08-14,0
2004-08-15,0
2004-08-16,0
2004-08-17,0.5
2004-08-18,0.9
2004-08-19,0.1
2004-08-20,0
2004-08-21,0.1
2004-08-22,0.2
2004-08-23,0.1
2004-08-24,0.1
2004-08-25,0.1
2004-08-26,0
2004-08-27,0
2004-08-28,0.3
2004-08-29,0
2004-08-30,0.1
2004-08-31,0.272
2004-09-01,0.022
2004-09-02,0
2004-09-03,0
2004-09-04,0
2004-09-05,0
2004-09-06,0
2004-09-07,0
2004-09-08,0
2004-09-09,0
2004-09-10,0
2004-09-11,0.3
2004-09-12,19.1
2004-09-13,0
2004-09-14,8.5
2004-09-15,1.1
2004-09-16,0
2004-09-17,0
2004-09-18,0
2004-09-19,0.3
2004-09-20,0.9
2004-09-21,0
2004-09-22,0
2004-09-23,11.7
2004-09-24,7.4
2004-09-25,1.1
2004-09-26,0.3
2004-09-27,0
2004-09-28,0
2004-09-29,0
2004-09-30,0
2004-10-01,0
2004-10-02,0
2004-10-03,0
2004-10-04,0
2004-10-05,0
2004-10-06,0.9
2004-10-07,0.6
2004-10-08,1.865
2004-10-09,13.59
2004-10-10,13.484
2004-10-11,0.244
2004-10-12,0
2004-10-13,0
2004-10-14,11.9
2004-10-15,23.3
2004-10-16,6.3
2004-10-17,8.4
2004-10-18,2.1
2004-10-19,9.6
2004-10-20,0.7
2004-10-21,3.3
2004-10-22,0
2004-10-23,0
2004-10-24,0
2004-10-25,15.5
2004-10-26,26.712
2004-10-27,3.984
2004-10-28,2.943
2004-10-29,2.211
2004-10-30,0.316
2004-10-31,0.158
2004-11-01,0.57
2004-11-02,1.549
2004-11-03,0.001
2004-11-04,0.035
2004-11-05,2.303
2004-11-06,0.318
2004-11-07,3.256
2004-11-08,0.903
2004-11-09,0.232
2004-11-10,0.368
2004-11-11,0.955
2004-11-12,0.001
2004-11-13,2.586
2004-11-14,2.417
2004-11-15,0.019
2004-11-16,0.047
2004-11-17,0.067
2004-11-18,0.077
2004-11-19,7.846
2004-11-20,1.253
2004-11-21,0.182
2004-11-22,0.105
2004-11-23,0.818
2004-11-24,0.084
2004-11-25,0.073
2004-11-26,0.106
2004-11-27,0.084
2004-11-28,0.562
2004-11-29,3.243
2004-11-30,1.869
2004-12-01,1.601
2004-12-02,0.778
2004-12-03,3.038
2004-12-04,0.026
2004-12-05,0.074
2004-12-06,0.003
2004-12-07,0.003
2004-12-08,0.003
2004-12-09,0
2004-12-10,0
2004-12-11,0
2004-12-12,0
2004-12-13,0
2004-12-14,0
2004-12-15,0
2004-12-16,0.48
2004-12-17,6.404
2004-12-18,1.334
2004-12-19,21.812
2004-12-20,0.06
2004-12-21,0.339
2004-12-22,0.302
2004-12-23,0.459
2004-12-24,0.072
2004-12-25,6.015
2004-12-26,9.946
2004-12-27,4.36
2004-12-28,5.065
2004-12-29,1.637
2004-12-30,0.106
2004-12-31,0.3
2005-01-01,1.563
2005-01-02,4.558
2005-01-03,0.416
2005-01-04,0
2005-01-05,0.305
2005-01-06,2.573
2005-01-07,0.039
2005-01-08,0.054
2005-01-09,0.406
2005-01-10,0.015
2005-01-11,0
2005-01-12,4.541
2005-01-13,2.233
2005-01-14,0.018
2005-01-15,0
2005-01-16,0.007
2005-01-17,0
2005-01-18,8.184
2005-01-19,1.565
2005-01-20,5.163
2005-01-21,11.339
2005-01-22,3.02
2005-01-23,3.011
2005-01-24,8.151
2005-01-25,4.642
2005-01-26,2.106
2005-01-27,0.281
2005-01-28,0.891
2005-01-29,0.289
2005-01-30,0.01
2005-01-31,0.903
2005-02-01,8.134
2005-02-02,2.385
2005-02-03,2.017
2005-02-04,0.001
2005-02-05,0.02
2005-02-06,0.019
2005-02-07,0.002
2005-02-08,0
2005-02-09,0
2005-02-10,0.135
2005-02-11,4.653
2005-02-12,12.449
2005-02-13,7.269
2005-02-14,6.359
2005-02-15,8.55
2005-02-16,4.353
2005-02-17,1.069
2005-02-18,0.176
2005-02-19,3.372
2005-02-20,2.797
2005-02-21,2.847
2005-02-22,1.557
2005-02-23,0.765
2005-02-24,0.317
2005-02-25,0.23
2005-02-26,0.252
2005-02-27,4.839
2005-02-28,0.222
2005-03-01,0.002
2005-03-02,0
2005-03-03,0.042
2005-03-04,0.598
2005-03-05,3.565
2005-03-06,4.422
2005-03-07,0.616
2005-03-08,2.653
2005-03-09,1.508
2005-03-10,0.217
2005-03-11,0.001
2005-03-12,2.043
2005-03-13,0.028
2005-03-14,1.34
2005-03-15,0.247
2005-03-16,0
2005-03-17,0
2005-03-18,0
2005-03-19,0
2005-03-20,0.02
2005-03-21,0.002
2005-03-22,4.167
2005-03-23,0.116
2005-03-24,5.199
2005-03-25,3.82
2005-03-26,5.961
2005-03-27,5.2
2005-03-28,4.588
2005-03-29,2.158
2005-03-30,5.276
2005-03-31,5.809
2005-04-01,0.009
2005-04-02,0.007
2005-04-03,0.25
2005-04-04,0.154
2005-04-05,1.736
2005-04-06,0.496
2005-04-07,13.531
2005-04-08,12.909
2005-04-09,14.233
2005-04-10,0.491
2005-04-11,0
2005-04-12,0.138
2005-04-13,0.835
2005-04-14,0.058
2005-04-15,1.09
2005-04-16,11.822
2005-04-17,23.293
2005-04-18,8.455
2005-04-19,3.141
2005-04-20,8.468
2005-04-21,2.722
2005-04-22,0
2005-04-23,4.67
2005-04-24,5.609
2005-04-25,4.46
2005-04-26,2.479
2005-04-27,9.943
2005-04-28,0.051
2005-04-29,0.076
2005-04-30,0.001
2005-05-01,0.864
2005-05-02,0.341
2005-05-03,10.616
2005-05-04,4.753
2005-05-05,6.08
2005-05-06,3.981
2005-05-07,7.186
2005-05-08,0.453
2005-05-09,0.691
2005-05-10,0.745
2005-05-11,0.028
2005-05-12,0.047
2005-05-13,2.288
2005-05-14,4.312
2005-05-15,2.652
2005-05-16,8.587
2005-05-17,0.38
2005-05-18,6.1
2005-05-19,0.092
2005-05-20,0.45
2005-05-21,6.848
2005-05-22,7.605
2005-05-23,18.059
2005-05-24,0.16
2005-05-25,0.04
2005-05-26,0.04
2005-05-27,0.04
2005-05-28,0.439
2005-05-29,0.247
2005-05-30,3.357
2005-05-31,0.047
2005-06-01,0.007
2005-06-02,0
2005-06-03,2.333
2005-06-04,10.79
2005-06-05,0.806
2005-06-06,2.27
2005-06-07,1.354
2005-06-08,0
2005-06-09,0.004
2005-06-10,0
2005-06-11,0.007
2005-06-12,1.755
2005-06-13,16.956
2005-06-14,13.057
2005-06-15,1.224
2005-06-16,0.78
2005-06-17,0.077
2005-06-18,0.032
2005-06-19,0
2005-06-20,0
