"date","temp","vpd","ppfd","netrad","patm","snow","rain","tmin","tmax","vwind","fapar","co2","ccov","gpp","le","le_qc","nee","nee_qc"
2004-01-01,-0.227,6.5125,6.5148735456,1.33971,95825,0,1.85185185185185e-05,-1.23,-0.01,1.52,0.02,384.872,1,0.218761,7.44814,-9999,0.760671,0.25
2004-01-02,-0.499,0,7.1211231648,-4.38167,95455,0,5.78703703703704e-06,-2.06,-0.05,2.022,0.02,377.952,0.937386274337769,0.122946,6.97631,-9999,0.787889,0.333333
2004-01-03,-2.956,7.0875,7.1333831952,-4.58373,96232,0,0,-5.82,-2.19,2.716,0.02,385.627,1,-0.0692721,6.39344,-9999,0.768699,0.958333
2004-01-04,-4.209,76.0041666666667,9.5413242384,-9.01879,96367,0,0,-10.45,-1.48,1.089,0.02,402.001,0.775840044021606,-0.203798,3.19733,-9999,0.76447,0.208333
2004-01-05,-1.192,23.9291666666667,6.7320004608,-6.9123683,96710,0,0,-8.1,0.53,0.675,0.02,437.166,0.869580328464508,0.0421242,1.08588,-9999,0.753756,0.0416667
2004-01-06,-1.58,23.8375,8.709063624,-11.30939,96656,0,0,-7.24,0.35,0.701,0.02,507.266,0.996546506881714,-0.520501,1.45106,-9999,1.32132,0.0208333
2004-01-07,1.095,39.2458333333333,7.1779812768,-8.68313,96475,0,4.62962962962963e-06,-4.35,4.14,0.489,0.02,460.733,0.986592710018158,-0.369368,5.41731,-9999,1.28837,0.604167
2004-01-08,-0.817,9.44583333333334,3.0531029328,1.31376,95852,0,0.00019212962962963,-2.68,1,1.594,0.02,441.904,0.999382793903351,-0.94731,9.57854,-9999,1.7543,0.979167
2004-01-09,5.113,54.1958333333333,3.4290771984,-22.97744,95465,0,0.000103009259259259,0.89,6.48,3.297,0.23,372.384,0.905567407608032,-0.284977,-2.11152,-9999,1.87431,0.979167
2004-01-10,6.463,105.704166666667,6.9365119824,9.6856,96150,0,9.02777777777778e-05,3.98,7.47,2.168,0.23,375.783,0.751347541809082,-0.293516,14.9463,-9999,2.10925,1
2004-01-11,6.792,129.175,2.730966192,0.75995,96056,0,0.000106481481481481,4.37,9.69,4.154,0.23,379.899,1,-0.0752766,12.1351,-9999,2.12665,1
2004-01-12,6.296,90.4666666666667,1.235775528,-13.71797,95398,0,0.000195601851851852,5.67,11.59,5.439,0.23,367.16,1,-0.798548,21.687,-9999,3.09285,1
2004-01-13,10.868,105.491666666667,0.8765033328,4.9709,94675,0,0.000537037037037037,6.68,11.79,5.309,0.23,359.14,1,0.222871,19.0551,-9999,2.42635,0.979167
2004-01-14,6.648,212.120833333333,8.3179864224,23.54232,94977,0,5.55555555555556e-05,2.73,9.17,4.248,0.23,362.185,1,0.517344,54.529,-9999,1.56753,1
2004-01-15,2.849,125.2625,4.49534448,-0.939,95514,0,9.25925925925926e-06,0.46,4.13,3.608,0.23,361.072,0.611008107662201,-0.781686,31.0643,-9999,2.31401,1
2004-01-16,3.814,280.3125,3.1646869776,-11.15699,95100,0,9.14351851851852e-05,0.04,5.82,5.258,0.23,360.743,0.99705570936203,-0.74648,20.1186,-9999,2.33404,1
2004-01-17,5.229,78.1583333333333,6.2799784704,11.21068,94725,0,0.000103009259259259,3.06,7.04,3.461,0.09,351.131,0.650195121765137,0.526174,26.3535,-9999,1.31226,1
2004-01-18,3.609,11.8041666666667,3.3638680512,3.6893,95534,0,6.25e-05,1.31,4.31,2.724,0.09,353.05,0.963864982128143,-0.131836,26.2444,-9999,1.60315,0.979167
2004-01-19,1.226,78.9916666666667,8.4412974528,7.48061,96453,0,1.15740740740741e-06,-1.21,2.33,2.504,0.09,363.353,1,0.523291,23.9055,-9999,0.629794,1
2004-01-20,1.605,1.35833333333333,2.9072263392,-2.0302,95584,0,7.52314814814815e-05,0.01,3.33,3.863,0.09,366.601,1,0.336414,28.5594,-9999,0.967694,0.958333
2004-01-21,2.115,40.0541666666667,7.9995809952,-13.08777,96076,0,0,-2.44,4.26,0.93,0.09,370.63,0.596900403499603,0.176597,7.27449,-9999,1.13983,1
2004-01-22,0.777,83.8875,13.2829433712,-8.48013,96412,0,0,-3.97,3.57,1.091,0.09,379.875,0.923805296421051,0.307818,5.56181,-9999,0.821755,0.9375
2004-01-23,0.687,105.645833333333,15.2337096576,-10.74086,96161,0,0,-5.56,3.1,1.665,0.09,398.623,0.272476196289062,0.355493,5.94821,-9999,0.815745,0.979167
2004-01-24,-0.325,50.2708333333333,10.263777624,-11.23944,96020,0,6.94444444444444e-06,-7.12,2.2,1.393,0.09,384.122,0.774368166923523,0.0169943,6.45055,-9999,1.15815,0.979167
2004-01-25,2.435,29.45,10.5644148912,-9.45489,96010,0,0,-2.01,4.56,1.309,0.09,372.351,0.697808861732483,-0.128133,3.61302,-9999,1.84884,1
2004-01-26,-0.851,0,6.1337465136,-10.13089,94805,0,3.35648148148148e-05,-1.8,1.11,1.548,0.09,351.717,1,-0.0282942,3.20323,-9999,1.42679,1
2004-01-27,0.611,17.7916666666667,5.5882640016,-8.58907,94474,0,7.98611111111111e-05,-1.5,1.45,2.09,0.09,361.525,1,-0.304033,3.3969,-9999,1.89039,0.979167
2004-01-28,-0.782,27.6541666666667,8.3823071616,-12.45895,94871,0,0,-2.98,0.08,2.965,0.09,361.021,1,-0.537224,2.69098,-9999,2.00315,1
