ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2004
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2005
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2006
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2007
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2008
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2009
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2010
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2011
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2012
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2013
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2014
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2015
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2016
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2022
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2023
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2004
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2005
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2006
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2007
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2008
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2009
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2010
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2011
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2012
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2013
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2014
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2015
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2016
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2022
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2023
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.0920501,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0888895,2004
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0794633,2005
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0825457,2006
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.084172,2007
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0865244,2008
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0796449,2009
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0808213,2010
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0834616,2011
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.095597,2012
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0939289,2013
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0941605,2014
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0899243,2015
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0976293,2016
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.103672,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0980248,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0920501,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0893093,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0935302,2021
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.100401,2022
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.100898,2023
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,51.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.0926821,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2004
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0877618,2004
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2005
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0790891,2005
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2006
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0819125,2006
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2007
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0835798,2007
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2008
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.085998,2008
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2009
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0789466,2009
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2010
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0804832,2010
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2011
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0829581,2011
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2012
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0941284,2012
