TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19810101,1.559,0.878,1.054,2.695,0.674,26.462,297.977,0.624,97.086,1.967,4.232
19810102,1.757,1.705,0.947,1.845,0.553,20.315,318.505,0.603,97.05,5.955,4.231
19810103,4.556,4.216,0.696,5.123,0.659,20.36,335.601,1.304,96.027,10.536,6.434
19810104,2.298,2.693,1.569,1.638,0.494,16.789,326.872,0.218,95.254,26.179,3.752
19810105,-1.026,-1.32,0.645,-0.536,0.43,44.98,284.843,0.417,96.335,1.825,4.427
19810106,-0.874,-1.15,0.899,-0.414,0.646,24.554,299.184,0.196,96.058,10.385,4.266
19810107,-4.593,-5.1,1.148,-3.748,1.014,41.213,275.635,0.187,96.958,0.919,2.228
19810108,-7.782,-7.936,1.23,-7.525,2.874,62.765,253.898,0.099,97.869,0.603,1.237
19810109,-9.275,-9.333,2.798,-9.18,3.813,66.948,244.174,0.106,97.475,0.023,0.551
19810110,-2.665,-3.077,2.455,-1.978,1.463,27.9,306.683,0.173,96.005,2.738,0.793
19810111,-1.174,-1.357,0.505,-0.869,0.152,34.631,303.451,0.017,96.273,1.125,2.524
19810112,-2.487,-2.322,1.592,-2.761,1.778,59.517,284.491,0.184,96.093,0.629,1.399
19810113,-2.072,-2.231,1.301,-1.807,0.485,28.551,305.252,0.032,95.501,5.446,1.747
19810114,-3.966,-3.49,2.442,-4.758,2.104,69.614,285.608,0.409,95.927,0.711,2.452
19810115,0.683,0.432,1.329,1.102,0.883,54.587,302.821,0.453,94.222,13.513,5.468
19810116,-1.858,-1.881,1.156,-1.821,0.983,52.795,289.36,0.718,95.43,0.901,3.602
19810117,2.657,2.043,1.141,3.595,0.394,38.552,316.189,0.627,95.142,7.326,4.198
19810118,1.127,1.051,0.514,1.244,0.204,26.224,312.681,0.109,95.861,3.959,3.247
19810119,1.993,1.387,1.555,2.92,0.997,17.377,323.846,0.406,95.981,6.389,3.882
19810120,0.012,0.065,0.964,-0.07,0.153,28.388,308.482,0.022,95.611,12.423,2.318
19810121,-3.88,-4.283,1.497,-3.267,1.379,69.564,272.237,0.093,97.061,0.387,1.21
19810122,-7.694,-8.098,1.404,-7.076,2.543,82.296,238.041,0.029,97.29,0.0,1.392
19810123,-8.828,-9.735,2.106,-7.443,3.463,83.816,230.404,0.166,97.442,0.0,1.627
19810124,-8.041,-8.225,3.17,-7.76,3.619,79.802,239.911,0.049,97.116,0.009,0.428
19810125,-5.787,-6.235,5.562,-5.102,4.719,52.408,277.933,0.102,97.079,0.228,1.239
19810126,-0.054,-0.638,1.095,0.838,1.376,50.204,303.296,0.11,97.49,1.267,1.465
19810127,-3.83,-4.261,0.849,-3.171,1.198,80.091,261.858,0.002,98.061,0.027,1.645
19810128,-5.296,-5.79,1.744,-4.541,2.44,90.881,245.235,0.328,98.112,0.0,2.183
