TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198101,-2.696,-2.997,1.622,-2.227,1.671,52.806,282.686,0.282,96.635,3.725,2.465
198102,-0.923,-1.418,1.762,-0.289,2.141,88.751,277.568,0.713,96.355,1.383,1.842
198103,7.168,6.177,2.011,8.127,2.745,118.078,316.328,2.273,95.754,3.78,1.971
198104,9.495,8.338,2.513,10.339,3.524,179.769,319.35,3.301,96.128,1.328,1.821
198105,12.219,11.007,2.105,12.892,3.018,185.242,338.239,3.704,95.859,4.888,1.558
198106,15.665,14.017,2.112,16.489,3.131,221.657,351.064,4.807,96.411,3.419,1.669
198107,16.562,15.127,2.138,17.305,2.955,190.503,359.335,4.551,96.449,4.778,1.522
198108,17.51,15.806,2.394,18.622,3.781,208.657,354.005,5.333,96.532,2.397,1.504
198109,14.098,13.062,1.81,14.985,2.688,117.6,355.68,2.274,96.328,4.82,1.343
198110,8.914,8.204,1.902,9.73,2.206,79.651,332.108,1.66,96.014,4.905,2.044
198111,3.86,3.399,2.001,4.523,2.131,60.895,300.54,1.098,97.015,1.877,1.939
198112,0.202,-0.084,1.589,0.68,1.198,34.558,302.592,0.405,94.915,6.174,2.287
198201,0.127,-0.28,1.767,0.768,1.504,40.861,302.786,0.425,96.389,4.18,1.837
198202,0.763,0.191,1.702,1.481,2.3,89.314,285.254,0.832,96.428,0.87,1.274
198203,3.814,3.077,2.106,4.521,2.499,123.343,297.847,1.895,96.248,3.498,2.177
198204,6.968,5.711,2.306,7.897,3.542,194.361,300.53,3.542,96.23,1.349,2.298
198205,12.784,10.955,2.257,13.8,3.553,229.498,328.301,4.859,96.527,2.934,1.608
198206,17.317,16.619,1.179,17.666,2.356,221.528,359.478,5.304,96.252,6.393,1.622
198207,18.764,16.794,1.872,19.767,3.345,217.578,366.327,5.655,96.419,7.075,1.528
198208,16.471,15.057,1.947,17.386,2.854,163.483,362.204,3.797,96.35,5.284,1.412
198209,15.636,14.111,2.162,16.92,3.506,150.882,352.579,3.538,96.539,2.69,1.243
198210,8.85,8.15,1.445,9.642,2.078,81.48,331.224,1.266,95.995,3.67,1.718
198211,4.634,4.038,1.749,5.499,2.107,56.187,311.622,0.86,96.291,2.707,1.477
198212,2.354,2.066,1.299,2.834,1.088,34.908,307.236,0.578,96.111,4.04,2.155
198301,2.206,1.812,1.585,2.832,1.504,43.959,302.39,0.688,97.317,2.631,2.398
198302,-1.543,-2.154,1.584,-0.759,1.739,83.218,277.871,0.714,96.15,2.292,2.36
198303,5.14,4.259,1.975,6.002,2.644,122.31,305.631,1.645,96.305,2.65,1.919
198304,8.511,7.305,1.896,9.379,2.825,172.445,321.567,2.688,95.623,4.529,2.082
198305,10.38,9.097,1.703,11.1,2.457,171.004,336.757,2.674,95.736,6.114,1.878
198306,16.713,15.066,1.904,17.537,3.089,220.678,353.521,5.495,96.52,3.527,1.621
198307,21.642,19.371,2.464,22.82,4.36,269.8,364.703,9.514,96.405,1.76,1.33
198308,18.714,17.988,1.457,19.191,2.87,194.51,365.168,5.742,96.355,3.564,1.325
198309,14.141,12.763,2.211,15.32,3.163,142.684,341.525,3.527,96.452,3.136,1.787
198310,8.962,7.978,2.016,10.076,2.757,91.917,326.615,1.882,96.847,2.06,1.735
198311,2.271,1.592,1.788,3.251,2.189,67.192,296.153,0.587,96.357,2.056,1.703
198312,0.235,-0.272,1.46,1.081,1.715,45.723,287.457,0.564,96.317,1.768,1.592
198401,0.638,0.282,1.506,1.206,1.359,42.986,295.866,0.753,95.954,3.432,2.588
198402,-0.299,-0.697,1.231,0.202,1.536,81.232,287.446,0.727,96.32,3.022,2.74
198403,2.004,0.994,2.219,2.97,3.099,155.005,282.541,1.691,95.893,1.812,1.836
198404,7.257,6.07,2.382,8.082,3.298,206.409,303.358,3.712,96.195,2.028,1.763
198405,9.678,8.452,1.619,10.364,2.419,180.92,330.956,2.557,95.404,3.578,1.938
198406,14.936,13.231,2.19,15.788,3.373,234.43,341.577,5.165,96.313,3.285,1.807
198407,17.45,15.536,2.48,18.449,3.837,228.999,352.018,6.21,96.547,3.303,1.594
198408,16.693,15.36,1.913,17.577,3.203,165.831,359.641,4.289,96.408,3.964,1.284
