TIMESTAMP_START,TIMESTAMP_END,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19810101,19810107,0.525,0.275,0.994,0.943,0.639,27.81,305.517,0.507,96.395,8.252,4.224
19810108,19810114,-4.203,-4.249,1.76,-4.125,1.81,49.989,283.365,0.145,96.449,1.611,1.529
19810115,19810121,0.105,-0.169,1.165,0.529,0.713,41.07,303.66,0.347,95.615,6.414,3.418
19810122,19810128,-5.647,-6.14,2.276,-4.894,2.765,74.214,256.668,0.112,97.513,0.219,1.425
19810129,19810204,-3.352,-4.041,3.07,-2.318,3.526,81.462,263.92,0.697,97.349,2.361,1.409
19810205,19810211,1.921,1.638,1.226,2.283,1.351,53.197,311.185,0.393,96.581,2.12,2.068
19810212,19810218,-2.717,-3.231,1.735,-2.055,2.454,109.304,248.058,0.941,96.296,0.165,2.298
19810219,19810225,-1.938,-2.397,1.301,-1.387,1.825,111.749,267.067,0.643,95.998,0.411,1.427
19810226,19810304,1.292,0.546,1.392,2.102,1.773,84.622,303.383,0.555,95.715,5.561,1.226
19810305,19810311,7.949,6.865,2.279,9.102,3.11,88.198,326.886,2.438,96.331,1.846,2.079
19810312,19810318,4.317,3.618,1.136,5.006,1.491,111.396,304.783,1.03,95.508,5.58,2.317
19810319,19810325,9.016,7.496,3.05,10.401,4.351,159.103,308.357,4.027,95.72,1.617,2.199
19810326,19810401,10.382,9.57,1.991,11.069,2.638,141.572,329.019,2.509,95.621,2.641,1.588
19810402,19810408,11.275,10.457,2.399,11.956,3.1,140.753,340.915,2.54,96.36,2.184,1.103
19810409,19810415,14.824,13.561,2.37,15.726,4.359,197.731,331.241,5.058,96.513,0.894,1.194
19810416,19810422,6.141,4.657,2.688,7.2,3.956,227.465,285.359,3.823,96.099,0.316,2.799
19810423,19810429,5.643,4.641,2.681,6.34,2.929,166.977,313.312,2.205,95.615,2.18,2.236
19810430,19810506,7.312,6.434,1.392,7.839,2.063,130.484,333.666,1.694,95.465,3.453,2.397
19810507,19810513,13.002,11.901,2.846,13.662,3.679,206.114,330.525,4.718,95.354,1.234,1.386
19810514,19810520,13.9,12.207,2.57,14.852,3.936,228.121,333.061,5.067,96.31,1.796,1.15
19810521,19810527,12.375,11.525,1.319,12.816,1.919,148.282,351.597,2.669,96.062,12.789,1.5
19810528,19810603,17.686,15.834,2.402,18.611,3.743,231.075,355.291,5.798,96.286,4.648,1.319
19810604,19810610,16.441,15.035,2.017,17.144,2.938,181.374,361.319,4.469,96.386,4.669,1.391
19810611,19810617,18.181,16.211,2.839,19.166,3.866,262.3,347.911,7.143,96.759,0.749,1.75
19810618,19810624,11.241,9.668,1.937,12.028,2.607,217.077,338.045,2.628,96.443,4.069,1.88
19810625,19810701,14.473,12.904,2.073,15.258,3.158,227.301,345.677,4.073,96.142,3.124,1.669
19810702,19810708,17.926,16.186,2.729,18.796,3.606,229.044,357.434,5.814,96.489,4.124,1.318
19810709,19810715,18.088,16.716,1.624,18.774,2.652,171.874,371.913,4.545,96.486,2.827,1.337
19810716,19810722,14.97,13.832,1.538,15.554,2.071,141.853,366.792,3.186,96.243,7.723,2.081
19810723,19810729,14.194,12.745,1.881,14.988,2.599,177.748,346.32,3.427,96.593,6.172,1.706
19810730,19810805,21.513,19.922,2.898,22.454,4.316,241.623,370.085,7.649,96.684,1.29,0.981
19810806,19810812,18.203,16.705,1.236,19.101,2.63,167.322,376.792,3.941,96.301,3.868,1.422
19810813,19810819,18.066,16.133,2.855,19.286,4.374,233.072,349.281,6.238,96.509,3.024,1.693
19810820,19810826,14.185,12.659,2.485,15.276,3.49,200.883,336.054,4.154,96.656,2.402,1.947
19810827,19810902,15.94,14.365,2.584,17.066,3.914,182.82,345.909,4.279,96.469,3.739,1.093
19810903,19810909,15.212,13.894,2.105,16.267,3.481,150.606,352.917,3.342,96.84,2.595,1.619
19810910,19810916,14.487,13.488,1.578,15.332,2.299,114.186,361.267,1.987,96.527,4.227,1.263
19810917,19810923,15.739,14.68,2.036,16.677,2.768,113.416,362.968,2.642,96.056,5.316,1.202
19810924,19810930,10.693,9.79,1.656,11.543,2.456,101.054,340.066,1.406,95.837,4.982,1.385
19811001,19811007,11.933,11.135,2.196,12.784,2.84,111.192,338.931,2.127,95.63,4.125,1.406
19811008,19811014,9.916,9.458,2.368,10.415,2.402,88.897,334.667,2.137,96.053,6.708,2.491
19811015,19811021,10.781,9.905,1.847,11.746,2.379,76.489,342.986,1.748,96.161,5.538,2.157
19811022,19811028,2.876,2.132,1.26,3.832,1.51,58.152,307.379,0.562,96.009,2.744,1.641
19811029,19811104,9.828,9.019,2.234,10.869,2.545,68.503,329.971,1.603,96.949,2.617,1.896
19811105,19811111,0.564,0.131,1.68,1.175,2.048,71.497,280.716,0.76,97.172,0.244,1.914
19811112,19811118,1.977,1.454,1.889,2.776,1.81,55.298,297.238,0.96,97.056,1.555,1.697
19811119,19811125,6.921,6.399,2.215,7.718,2.516,57.064,308.996,1.682,97.145,1.152,1.951
19811126,19811202,1.488,1.547,1.634,1.394,1.042,39.573,304.175,0.602,96.349,7.045,2.947
19811203,19811209,1.464,1.268,1.363,1.791,1.033,34.245,308.694,0.708,95.381,7.798,3.16
19811210,19811216,2.051,1.782,1.715,2.498,0.94,30.389,314.837,0.457,94.457,9.871,3.155
19811217,19811223,-2.368,-2.652,1.607,-1.896,1.129,31.352,295.022,0.135,94.782,4.273,1.386
19811224,19811231,-0.45,-0.922,1.772,0.336,1.761,38.597,293.326,0.327,94.654,3.008,1.481
19820101,19820107,3.611,3.258,1.684,4.199,1.493,37.799,308.63,0.967,96.052,4.231,2.724
19820108,19820114,-1.877,-1.952,2.197,-1.751,1.051,30.798,310.14,0.23,95.932,8.056,1.901
19820115,19820121,-2.495,-3.409,2.431,-1.07,2.938,66.14,271.245,0.333,97.001,0.022,0.428
19820122,19820128,-0.029,-0.358,1.074,0.474,0.905,39.715,306.735,0.218,96.354,2.285,1.498
19820129,19820204,1.252,0.923,1.398,1.741,1.179,56.099,301.218,0.51,96.985,3.988,2.461
19820205,19820211,3.755,2.959,2.258,4.786,3.168,78.147,299.338,1.205,97.078,0.705,1.027
19820212,19820218,2.503,1.91,1.41,3.266,2.164,92.773,290.698,0.693,96.249,0.876,1.092
19820219,19820225,-2.352,-2.562,0.91,-2.1,1.48,87.84,279.775,0.562,95.793,1.739,1.62
19820226,19820304,2.408,1.805,2.943,3.063,2.762,87.025,293.058,1.779,96.137,2.317,2.413
19820305,19820311,2.575,1.746,2.178,3.47,2.519,131.233,285.44,1.903,96.437,2.212,2.553
19820312,19820318,2.849,2.138,1.86,3.548,2.335,113.817,293.61,1.579,96.102,4.072,1.833
19820319,19820325,3.204,2.336,1.589,3.989,2.306,138.833,296.987,1.427,96.583,3.095,2.05
19820326,19820401,5.998,4.989,2.758,6.852,3.39,156.847,304.399,2.583,95.818,3.884,1.465
