TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
1981,8.559,7.603,1.997,9.318,2.6,128.321,324.425,2.545,96.195,1332.096,1.832
1982,9.085,8.082,1.817,9.894,2.56,133.74,325.718,2.722,96.314,1369.589,1.7
1983,9.018,7.969,1.838,9.889,2.614,135.715,323.599,2.994,96.368,1098.578,1.807
1984,8.057,7.061,1.834,8.854,2.548,133.974,319.808,2.524,96.164,1092.526,1.792
1985,7.84,6.725,2.036,8.742,2.785,139.808,319.566,2.789,96.217,1081.069,1.744
1986,8.34,7.313,1.961,9.168,2.629,134.812,323.511,2.733,96.245,1137.356,1.784
1987,8.412,7.451,1.753,9.182,2.368,132.278,323.515,2.529,96.24,1183.101,1.738
1988,9.406,8.497,1.764,10.141,2.409,133.456,327.738,2.72,96.242,1363.907,1.798
1989,9.359,8.252,1.933,10.284,2.825,142.313,321.123,3.074,96.4,957.708,1.574
1990,9.458,8.408,1.972,10.292,2.685,140.306,323.162,3.143,96.386,1151.167,1.762
1991,8.627,7.778,1.887,9.339,2.676,143.258,320.082,2.937,96.35,1099.534,1.65
1992,9.346,8.464,1.835,10.049,2.506,134.162,324.81,2.924,96.348,1144.54,1.772
1993,9.034,8.171,1.734,9.721,2.411,137.804,323.318,2.832,96.314,1123.958,1.801
1994,10.385,9.541,1.686,11.036,2.368,134.65,331.391,2.92,96.261,1274.518,1.772
1995,9.225,8.373,1.785,9.895,2.427,134.125,325.731,2.81,96.234,1380.661,1.842
1996,8.215,7.343,1.731,8.892,2.444,137.031,320.283,2.561,96.07,1105.404,1.675
1997,9.544,8.67,1.97,10.27,2.709,144.548,321.969,2.98,96.324,1067.916,1.663
1998,9.351,8.38,1.924,10.122,2.668,136.158,323.168,3.371,96.323,1125.665,1.854
1999,9.484,8.725,1.729,10.118,2.448,131.573,327.049,2.758,96.196,1425.957,1.807
2000,10.039,9.092,1.945,10.789,2.619,137.01,326.151,3.082,96.246,1086.578,1.637
2001,9.391,8.488,1.742,10.097,2.43,134.846,326.133,2.779,96.227,1318.621,1.838
2002,9.945,9.094,1.9,10.625,2.469,133.61,327.961,2.915,96.209,1340.883,1.715
2003,10.117,9.172,2.069,10.888,2.928,155.753,320.83,4.489,96.335,911.36,1.614
2004,9.14,8.282,1.817,9.798,2.434,141.03,323.103,2.855,96.268,1119.431,1.716
2005,9.032,8.144,1.877,9.744,2.618,138.887,321.983,3.165,96.359,1034.272,1.636
2006,9.846,8.977,1.776,10.516,2.49,140.217,325.096,3.354,96.325,1246.079,1.633
2007,9.914,9.012,1.88,10.632,2.586,139.018,325.261,3.132,96.354,1220.696,1.846
2008,9.532,8.644,1.756,10.262,2.428,135.721,324.727,3.049,96.241,1130.266,1.714
2009,9.716,8.686,1.91,10.497,2.58,142.224,325.254,3.198,96.141,1161.406,1.658
2010,8.708,7.827,1.764,9.403,2.345,134.638,324.984,2.991,95.973,1135.097,1.687
2011,10.238,9.066,2.099,11.173,2.858,147.337,324.991,3.523,96.415,1015.801,1.54
2012,9.504,8.528,1.939,10.249,2.588,142.029,325.786,3.006,96.274,1285.495,1.726
2013,8.975,8.014,1.76,9.721,2.371,134.334,326.243,2.797,96.153,1210.987,1.661
2014,10.467,9.565,1.768,11.195,2.579,138.907,329.98,2.922,96.103,1227.094,1.484
2015,10.381,9.331,1.965,11.201,2.699,146.36,327.073,3.815,96.472,983.714,1.58
2016,9.575,8.54,1.802,10.39,2.484,137.533,327.455,2.723,96.315,1295.14,1.517
2017,9.815,8.655,2.052,10.708,2.904,142.477,325.186,3.382,96.432,1054.848,1.591
2018,10.817,9.694,1.963,11.654,2.732,145.798,330.479,3.812,96.198,958.636,1.632
2019,10.329,9.165,2.059,11.235,2.758,146.121,326.527,3.6,96.243,1123.981,1.667
2020,10.631,9.605,2.035,11.445,2.738,148.138,326.903,3.761,96.357,1030.252,1.637
2021,9.213,8.107,1.89,10.069,2.677,140.84,323.246,2.73,96.326,1213.953,1.659
2022,11.172,9.925,2.103,12.131,2.935,153.242,327.381,4.188,96.438,1016.138,1.677
2023,11.145,9.984,2.019,12.031,2.797,143.111,331.233,3.939,96.268,1180.24,1.832
