"Label","Description","Units (preferred) or format","Category","Used In"
"#gfRF","Gap-filled using random forest","same as input var","","diive"
"#odAL","Outliers were removed using outlier detection: absolute limits","same as input var","","diive"
"(FLUX)_QCF","(suffix) measured (not gap-filled) data with the respective QCF flag applied","","",""
"(footprint) model","Model for footprint estimation","-","","EddyPro (_full_output_ file)"
"(z-d)/L","Monin-Obukhov stability parameter","#","","EddyPro (_full_output_ file)"
"_CUT_","constant USTAR threshold across years","","",""
"_fsd / _FSD","(suffix) Standard deviation of datapoints used for gap filling (uncertainty)","","","ReddyProc"
"_fsdu","(suffix) Standard deviation across uStar thresholds (uncertainty, bias)","","","ReddyProc"
"_fsdug","(suffix) Combination of random uncertainty and uncertainty due to USTAR: sqrt(fsd^2 + fsdu^2)","","","ReddyProc"
"_fwin","(suffix) Full window length used for gap filling","","","ReddyProc"
"_orig","(suffix) Original values used for gap filling","","","ReddyProc"
"_QCF0","(suffix) measured (not gap-filled) data of highest quality","","","diive"
"_QCF01","(suffix) measured (not gap-filled) data of highest and OK quality","","","diive"
"_SCF","(suffix) Spectral correction factor for the respective flux","#","",""
"_sd / _SD","(suffix) Standard deviation","","","ReddyProc"
"_SUT_","seasonal USTAR threshold, seasons are specified by the user","","",""
"_Thres","(suffix) the threshold of uStar values used to mark insufficient conditions","m s-1","","ReddyProc"
"_U05","(suffix) low estimate (5% quantile of the bootstrapped uncertainty distribution)","","","ReddyProc"
"_U50","(suffix) median estimate (50% quantile of the bootstrapped uncertainty distribution)","","","ReddyProc"
"_U95","(suffix) high estimate (95% quantile of the bootstrapped uncertainty distribution)","","","ReddyProc"
"_uStar","(suffix) estimate on the original unbootstrapped data","","","ReddyProc"
"_VUT_","variable USTAR threshold for each year","","",""
"abs_lim","Hard flags for individual variables for absolute limits","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"AGC","Automatic Gain Control LI-7500","%","","EC raw data files (ASCII)"
"AGC","Mean value of AGC for LI‑7500RS or LI‑7200RS","%","","EddyPro (_full_output_ file)"
"air_density","Density of ambient air","kg m-3","","EddyPro (_full_output_ file)"
"air_heat_capactiy","Specific heat at constant pressure of ambient air","J K-1 kg-1","","EddyPro (_full_output_ file)"
"air_molar_volume","Molar volume of ambient air","m3 mol-1","","EddyPro (_full_output_ file)"
"air_pressure","Mean pressure of ambient air, either calculated from high frequency air pressure readings, or estimated based on site altitude (barometric pressure)","Pa","","EddyPro (_full_output_ file)"
"air_temperature","Mean temperature of ambient air, either calculated from high frequency air temperature readings, or estimated from sonic temperature","K","","EddyPro (_full_output_ file)"
"ALB","Albedo, range 0-100","%","","Ameriflux"
"amp_res","Hard flags for individual variables for amplitude resolution","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"APAR","Absorbed PAR","µmolPhoton m-2 s-1","","Ameriflux"
"ATM","Atmospheric","-","",""
"attack_angle","Hard flag for attack angle test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"AVG","Average","-","",""
"AW","All-wave radiation","","",""
"AW_IN","All-wave incoming radiation without correction (Pyrradiometer)","W m–2","",""
"AW_OUT","All-wave outgoing radiation without correction (Pyrradiometer)","W m–2","",""
"BAK","Backup measurement, e.g. used at ICOS station CH-DAV","","",""
"BC","Below Canopy","-","",""
"BD","Bulk density","g cm-3","",""
"BICO","Python script for BInary COnversion of EC raw data binary files to ASCII format","-","","BICO"
"bowen_ratio","Sensible heat flux to latent heat flux ratio","#","","EddyPro (_full_output_ file)"
"BV","Battery voltage","V","",""
"BV_EC","Battery Voltage EC system","V","",""
"BV_iDL","Internal Battery Voltage Logger","V (location and replicate number is essential)","",""
"CH4","CH4 molar fraction (in humid air), wet mole fraction","nmol mol-1, µmol mol-1","",""
"CH4_DRY","CH4 dry mole fraction (in dry air), mixing ratio, ppb","nmol mol-1","","EC raw data files (ASCII)"
"CH4_MIXING_RATIO","Methane (CH4) in mole fraction of dry air","nmolCH4 mol-1","","Ameriflux"
"CH4_QCL_CMB","CH4 concentration from QCL for chamber system","ppb (nmol CH4 mol-1)","",""
"CH4_QCL_EC","CH4 concentration from QCL for eddy system","ppb (nmol CH4 mol-1)","",""
"CH4_QCL_PRF","CH4 concentration from QCL for profile system","ppb (nmol CH4 mol-1)","",""
"CM","Chamber","-","",""
"CMB","Chamber","-","",""
"CNT","Suffix for counts","-","",""
"CO","Carbon Monoxide (CO) mole fraction in wet air","nmolCO mol-1","","Ameriflux"
"CO2","Carbon Dioxide (CO2) in mole fraction of wet air","umolCO2 mol-1","","ICOS / Ameriflux"
"CO2_BOLE","tree stem CO2","vol%","",""
"CO2_CONC","CO2 concentration density, molar density","mmol m-3","","EC raw data files (ASCII)"
"CO2_DRY","CO2 dry mole fraction (in dry air), mixing ratio, ppm (parts per million)","µmol CO2 mol-1","","EC raw data files (ASCII)"
"CO2_DRY","Carbon Dioxide (CO2) in mole fraction of dry air","umolCO2 mol-1","","ICOS"
"CO2_DRY_n","Profile level-specific carbon dioxide in mole fraction of dry air averaged over the whole respective half-hour (_n is an integer number going from 1 to n top-down)","umolCO2 mol-1","","ICOS"
"CO2_DRY_n_SE","Standard error of profile level-specific carbon dioxide in mole fraction of dry air as estimenated over the whole respective half-hour (_n is an integer number going from 1 to n top-down)","umolCO2 mol-1","","ICOS"
"CO2_F_MDS","CO2 mole fraction, gapfilled with MDS;","µmolCO2 mol-1","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"CO2_F_MDS","CO2 mole fraction, gapfilled with MDS","µmolCO2 mol-1","","ICOS / FLUXNET"
"CO2_F_MDS_QC","Quality flag for CO2_F_MDS; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"CO2_F_MDS_QC","Quality flag for CO2_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"CO2_HD10_FLAG","Flag for the homogeneity test applied on differenced carbon dioxide 0: negligible evidences of error, IF HD10_STAT1)","nondimensional","","ICOS"
"CO2_HD10_STAT","Statistic of the homogeneity test applied on differenced carbon dioxide (percentage of data exceeding ñ10?)","%","","ICOS"
"CO2_HD5_FLAG","Flag for the homogeneity test applied on differenced carbon dioxide (0: negligible evidences of error, IF HD5_STAT4)","nondimensional","","ICOS"
"CO2_HD5_STAT","Statistic of the homogeneity test applied on differenced carbon dioxide (percentage of data exceeding ñ5?)","%","","ICOS"
"CO2_HF10_FLAG","Flag for the homogeneity test applied on carbon dioxide fluctuations (0: negligible evidences of error, IF HF10_STAT1)","nondimensional","","ICOS"
"CO2_HF10_STAT","Statistic of the homogeneity test applied on carbon dioxide fluctuations (percentage of data exceeding ñ10?)","%","","ICOS"
"CO2_HF5_FLAG","Flag for the homogeneity test applied on carbon dioxide fluctuations (0: negligible evidences of error, IF HF5_STAT4)","nondimensional","","ICOS"
"CO2_HF5_STAT","Statistic of the homogeneity test applied on carbon dioxide fluctuations (percentage of data exceeding ñ5?)","%","","ICOS"
"CO2_IRGA70_CMB","CO2 concentration from IRGA Li-7000 for chamber system","µmol CO2 mol-1","",""
"CO2_IRGA70_EC","CO2 concentration from IRGA Li-7000 for eddy system","µmol CO2 mol-1","",""
"CO2_IRGA70_PRF","CO2 concentration from IRGA Li-7000 for profile","µmol CO2 mol-1","",""
"CO2_IRGA70_STM","CO2 concentration from IRGA Li-7000, in stem","µmol CO2 mol-1","",""
"CO2_IRGA72_CMB","CO2 concentration from IRGA Li-7200 for chamber system","µmol CO2 mol-1","",""
"CO2_IRGA72_EC","CO2 concentration from IRGA Li-7200 for eddy system","µmol CO2 mol-1","",""
"CO2_IRGA72_PRF","CO2 concentration from IRGA Li-7200 for profile","µmol CO2 mol-1","",""
"CO2_IRGA72_STM","CO2 concentration from IRGA Li-7200, in stem","µmol CO2 mol-1","",""
"CO2_IRGA75_CMB","CO2 concentration from IRGA Li-7500 for chamber system","µmol CO2 mol-1","",""
"CO2_IRGA75_EC","CO2 concentration from IRGA Li-7500 for eddy system","µmol CO2 mol-1","",""
"CO2_IRGA75_PRF","CO2 concentration from IRGA Li-7500 for profile","µmol CO2 mol-1","",""
"CO2_IRGA75_STM","CO2 concentration from IRGA Li-7500, in stem","µmol CO2 mol-1","",""
"CO2_KID_FLAG","Flag for the CO2_KID_STAT (0: negligible evidences of error, IF KID_STAT50)","nondimensional","","ICOS"
"CO2_KID_STAT","Kurtosis Index of Differenced carbon dioxide","nondimensional","","ICOS"
"CO2_MIXING_RATIO","Carbon Dioxide (CO2) in mole fraction of dry air","µmolCO2 mol-1","","Ameriflux"
"CO2_SIGMA","Standard deviation of carbon dioxide mole fraction in wet air","µmolCO2 mol-1","","Ameriflux"
"CO2_SIGMA","Standard deviation of carbon dioxide in mole fraction of wet air","umolCO2 mol-1","","ICOS"
"CO2C13","Stable isotopic composition of CO2 - C13 (i.e., d13C of CO2)","‰ (permil)","","Ameriflux"
"COND_WATER","Conductivity (i.e., electrical conductivity) of water","µS cm-1","","Ameriflux"
"COOLER_V","Cooler voltage","V","","EC raw data files (ASCII)"
"CUP","Cup Anemometer","-","",""
"D","Depth","-","",""
"D_SNOW","Snow depth","cm, m","","Ameriflux"
"DATA_SIZE","Data size of instrument data block, number of bytes in instrument record","bytes","","EC raw data files (ASCII)"
"DATE","date","yyyy-mm-dd","",""
"date","Date of the end of the averaging period","yyyy-mm-dd","","EddyPro (_full_output_ file)"
