date,temp,vpd,ppfd,netrad,patm,snow,rain,tmin,tmax,vwind,fapar,lai,co2,ccov,gpp,le,nee,nee_qc
2004-01-01,-0.227,5.3,6.587975999999998e-5,30.3051521754781,95825,0,1.8518518518518518e-5,-1.23,-0.01,1.52,0.02,0,384.872,0.9506985346476235,0.218761,7.44814,0.760671,0.25
2004-01-02,-0.499,1,4.367232000000001e-5,34.67159046705763,95455,0,5.787037037037037e-6,-2.06,-0.05,2.022,0.02,0,377.952,0.9506985346476235,0.122946,6.97631,0.787889,0.333333
2004-01-03,-2.956,10.6,4.257276e-5,16.327519827334925,96232,0,0,-5.82,-2.19,2.716,0.02,0,385.627,0.9506985346476235,-0.0692721,6.39344,0.768699,0.958333
2004-01-04,-4.209,58.5,6.587975999999998e-5,28.20960936264362,96367,0,0,-10.45,-1.48,1.089,0.02,0,402.001,0.9506985346476235,-0.203798,3.19733,0.76447,0.208333
2004-01-05,-1.192,25.8,5.368056e-5,36.52218928827136,96710,0,0,-8.1,0.53,0.675,0.02,0,437.166,0.9506985346476235,0.0421242,1.08588,0.753756,0.0416667
2004-01-06,-1.58,14.399999999999999,5.368056e-5,32.12189360496012,96656,0,0,-7.24,0.35,0.701,0.02,0,507.266,0.9506985346476235,-0.520501,1.45106,1.32132,0.0208333
2004-01-07,1.095,20.599999999999998,5.477808e-5,15.782127490237144,96475,0,4.6296296296296296e-6,-4.35,4.14,0.489,0.02,0,460.733,0.9506985346476235,-0.369368,5.41731,1.28837,0.604167
2004-01-08,-0.817,5.5,3.505332e-5,22.575123399599022,95852,0,1.9212962962962963e-4,-2.68,1,1.594,0.02,0,441.904,0.9506985346476235,-0.94731,9.57854,1.7543,0.979167
2004-01-09,5.113,43.4,3.9369959999999995e-5,22.2694774255595,95465,0,1.0300925925925926e-4,0.89,6.48,3.297,0.23,0.30000000000000004,372.384,0.9506985346476235,-0.284977,-2.11152,1.87431,0.979167
2004-01-10,6.463,90.10000000000001,7.963956e-5,30.160620102357427,96150,0,9.027777777777777e-5,3.98,7.47,2.168,0.23,0.30000000000000004,375.783,0.9506985346476235,-0.293516,14.9463,2.10925,1
2004-01-11,6.792,115.6,3.135479999999999e-5,8.816014607097657,96056,0,1.0648148148148147e-4,4.37,9.69,4.154,0.23,0.30000000000000004,379.899,0.9506985346476235,-0.0752766,12.1351,2.12665,1
2004-01-12,6.296,136.3,1.4188199999999999e-5,-1.8815022806796833,95398,0,1.9560185185185183e-4,5.67,11.59,5.439,0.23,0.30000000000000004,367.16,0.9506985346476235,-0.798548,21.687,3.09285,1
2004-01-13,10.868,132.1,1.0063319999999999e-5,3.7332071598896732,94675,0,5.37037037037037e-4,6.68,11.79,5.309,0.23,0.30000000000000004,359.14,0.9506985346476235,0.222871,19.0551,2.42635,0.979167
2004-01-14,6.648,177.5,9.550056e-5,6.372079419312968,94977,0,5.555555555555555e-5,2.73,9.17,4.248,0.23,0.30000000000000004,362.185,0.9506985346476235,0.517344,54.529,1.56753,1
2004-01-15,2.849,112.5,5.1612e-5,-5.18603999998362,95514,0,9.259259259259259e-6,0.46,4.13,3.608,0.23,0.30000000000000004,361.072,0.9506985346476235,-0.781686,31.0643,2.31401,1
2004-01-16,3.814,201.9,3.633444e-5,1.8072034173156908,95100,0,9.143518518518519e-5,0.04,5.82,5.258,0.23,0.30000000000000004,360.743,0.9506985346476235,-0.74648,20.1186,2.33404,1
2004-01-17,5.229,75.7,7.210175999999999e-5,20.341135819718033,94725,0,1.0300925925925926e-4,3.06,7.04,3.461,0.09,0.1,351.131,0.9506985346476235,0.526174,26.3535,1.31226,1
2004-01-18,3.609,21.7,3.8621279999999994e-5,12.44495129019731,95534,0,6.25e-5,1.31,4.31,2.724,0.09,0.1,353.05,0.9506985346476235,-0.131836,26.2444,1.60315,0.979167
2004-01-19,1.226,71.39999999999999,9.691632000000001e-5,9.125733805894924,96453,0,1.1574074074074074e-6,-1.21,2.33,2.504,0.09,0.1,363.353,0.9506985346476235,0.523291,23.9055,0.629794,1
2004-01-20,1.605,7.7,3.337848e-5,24.97978703002792,95584,0,7.523148148148149e-5,0.01,3.33,3.863,0.09,0.1,366.601,0.9506985346476235,0.336414,28.5594,0.967694,0.958333
2004-01-21,2.115,29.9,9.184488e-5,47.92649032015572,96076,0,0,-2.44,4.26,0.93,0.09,0.1,370.63,0.9506985346476235,0.176597,7.27449,1.13983,1
2004-01-22,0.777,66,1.5250428000000002e-4,28.405164911425516,96412,0,0,-3.97,3.57,1.091,0.09,0.1,379.875,0.9506985346476235,0.307818,5.56181,0.821755,0.9375
2004-01-23,0.687,87.7,1.7490144e-4,9.916176996434558,96161,0,0,-5.56,3.1,1.665,0.09,0.1,398.623,0.9506985346476235,0.355493,5.94821,0.815745,0.979167
2004-01-24,-0.325,40.699999999999996,1.178406e-4,23.286144157927083,96020,0,6.944444444444444e-6,-7.12,2.2,1.393,0.09,0.1,384.122,0.9506985346476235,0.0169943,6.45055,1.15815,0.979167
2004-01-25,2.435,15,1.2129228e-4,24.4547415009136,96010,0,0,-2.01,4.56,1.309,0.09,0.1,372.351,0.9506985346476235,-0.128133,3.61302,1.84884,1
2004-01-26,-0.851,0,7.042284e-5,29.522298420124287,94805,0,3.3564814814814815e-5,-1.8,1.11,1.548,0.09,0.1,351.717,0.9506985346476235,-0.0282942,3.20323,1.42679,1
2004-01-27,0.611,10.8,6.416004e-5,37.88982718209604,94474,0,7.986111111111112e-5,-1.5,1.45,2.09,0.09,0.1,361.525,0.9506985346476235,-0.304033,3.3969,1.89039,0.979167
2004-01-28,-0.782,15.9,9.623904e-5,43.798323151167494,94871,0,0,-2.98,0.08,2.965,0.09,0.1,361.021,0.9506985346476235,-0.537224,2.69098,2.00315,1
2004-01-29,-1.529,31.2,6.941304000000001e-5,13.01877537454908,95153,0,1.1574074074074074e-6,-3.36,-0.86,3.455,0.09,0.1,369.241,0.9506985346476235,-8.41396e-4,3.06123,1.49496,1
2004-01-30,-2.627,42.8,2.0324724e-4,20.2093871564432,96318,0,0,-7.8,0.32,1.843,0.09,0.1,385.88,0.9506985346476235,-0.583471,-3.06846,1.70793,1
2004-01-31,2.971,215.89999999999998,2.0920404e-4,29.865121484265558,96177,0,1.1574074074074074e-6,-8.89,9.42,2.221,0.09,0.1,396.829,0.9506985346476235,-0.212975,-4.08998,2.30293,1
