NEE_L3.1_L3.2_QCF,NEE_L3.1_L3.2_QCF0,date
5.2348616,,2022-01-01
,,2022-01-01
,,2022-01-01
1.722635,1.722635,2022-01-01
1.7351037,,2022-01-01
2.263961,2.263961,2022-01-01
1.8145117,,2022-01-01
1.2274604,,2022-01-01
2.3626128,,2022-01-01
,,2022-01-01
1.4748989,1.4748989,2022-01-01
1.6490219,1.6490219,2022-01-01
1.259773,1.259773,2022-01-01
2.68018,,2022-01-01
1.205468,1.205468,2022-01-01
1.097949,1.097949,2022-01-01
1.2366331,,2022-01-01
-0.379642,-0.379642,2022-01-01
,,2022-01-01
-2.126946,-2.126946,2022-01-01
-5.550858,-5.550858,2022-01-01
-5.799024,-5.799024,2022-01-01
-6.1957444,-6.1957444,2022-01-01
-7.085847,-7.085847,2022-01-01
-8.613648,-8.613648,2022-01-01
-7.533768,-7.533768,2022-01-01
-7.7443001,-7.7443001,2022-01-01
-6.928738,-6.928738,2022-01-01
-6.255454,-6.255454,2022-01-01
-4.993909,-4.993909,2022-01-01
-4.096753,-4.096753,2022-01-01
-1.282044,,2022-01-01
-1.429086,,2022-01-01
-5.408943,,2022-01-01
8.13562,,2022-01-01
,,2022-01-01
,,2022-01-01
12.852458,,2022-01-01
1.603352,,2022-01-01
-3.179361,,2022-01-01
,,2022-01-01
8.404983,,2022-01-01
5.789481,,2022-01-01
4.354252,,2022-01-01
2.048076,2.048076,2022-01-01
0.9962451,0.9962451,2022-01-01
,,2022-01-01
8.454554,,2022-01-01
2.0440771,2.0440771,2022-01-02
4.479782,,2022-01-02
,,2022-01-02
2.7832217,,2022-01-02
1.107092,,2022-01-02
1.2190201,1.2190201,2022-01-02
,,2022-01-02
0.7754339,0.7754339,2022-01-02
2.720857,,2022-01-02
,,2022-01-02
3.735144,,2022-01-02
2.9086215,,2022-01-02
,,2022-01-02
,,2022-01-02
,,2022-01-02
3.344389,,2022-01-02
3.884487,,2022-01-02
,,2022-01-02
-2.853758,-2.853758,2022-01-02
,,2022-01-02
-2.773438,,2022-01-02
-8.738009,,2022-01-02
-9.787471,-9.787471,2022-01-02
,,2022-01-02
-9.069671,-9.069671,2022-01-02
-7.8408221,-7.8408221,2022-01-02
-4.3286909,-4.3286909,2022-01-02
,,2022-01-02
-1.4263747,,2022-01-02
-2.1315941,-2.1315941,2022-01-02
,,2022-01-02
0.690412,,2022-01-02
-0.449841,,2022-01-02
0.906315,,2022-01-02
4.081592,4.081592,2022-01-02
,,2022-01-02
-2.8249335,,2022-01-02
8.532014,,2022-01-02
2.790635,2.790635,2022-01-02
5.052271,5.052271,2022-01-02
4.5610609,4.5610609,2022-01-02
1.775969,1.775969,2022-01-02
3.681728,,2022-01-02
3.311955,3.311955,2022-01-02
-0.8887263,,2022-01-02
4.2932515,,2022-01-02
5.326184,5.326184,2022-01-02
7.228393,,2022-01-02
2.609124,2.609124,2022-01-03
1.612447,1.612447,2022-01-03
1.36952,1.36952,2022-01-03
3.009071,3.009071,2022-01-03
2.1941007,2.1941007,2022-01-03
2.277559,2.277559,2022-01-03
3.5451509,,2022-01-03
3.7542637,3.7542637,2022-01-03
2.712933,2.712933,2022-01-03
2.1655567,2.1655567,2022-01-03
1.6087546,,2022-01-03
2.930981,,2022-01-03
3.1180773,3.1180773,2022-01-03
3.7418857,3.7418857,2022-01-03
2.373831,,2022-01-03
4.406959,4.406959,2022-01-03
4.7607705,4.7607705,2022-01-03
3.7451298,3.7451298,2022-01-03
2.971918,2.971918,2022-01-03
-1.2788553,-1.2788553,2022-01-03
-1.56866,-1.56866,2022-01-03
-1.737581,-1.737581,2022-01-03
-5.483546,-5.483546,2022-01-03
-4.252429,-4.252429,2022-01-03
-3.006969,-3.006969,2022-01-03
-8.055135,-8.055135,2022-01-03
-6.331082,-6.331082,2022-01-03
-3.418611,-3.418611,2022-01-03
-1.346559,,2022-01-03
-2.4070284,-2.4070284,2022-01-03
-1.3677193,-1.3677193,2022-01-03
0.3138541,,2022-01-03
2.7845006,2.7845006,2022-01-03
2.8607104,2.8607104,2022-01-03
3.3803436,3.3803436,2022-01-03
4.769117,4.769117,2022-01-03
7.144371,,2022-01-03
3.088284,3.088284,2022-01-03
3.131075,3.131075,2022-01-03
2.678581,2.678581,2022-01-03
3.02018501,3.02018501,2022-01-03
3.0918225,3.0918225,2022-01-03
2.909362,2.909362,2022-01-03
3.5710238,3.5710238,2022-01-03
2.5921576,2.5921576,2022-01-03
3.161549,3.161549,2022-01-03
4.734943,4.734943,2022-01-03
2.0210796,2.0210796,2022-01-03
3.697156,3.697156,2022-01-04
2.6454141,2.6454141,2022-01-04
1.94175388,1.94175388,2022-01-04
3.908766,3.908766,2022-01-04
1.9856291,1.9856291,2022-01-04
3.1167168,3.1167168,2022-01-04
3.448355,3.448355,2022-01-04
4.878527,4.878527,2022-01-04
3.619981,3.619981,2022-01-04
3.973275,3.973275,2022-01-04
4.46540311,4.46540311,2022-01-04
3.22390911,3.22390911,2022-01-04
2.5501322,2.5501322,2022-01-04
2.4302782,2.4302782,2022-01-04
-3.1608843,,2022-01-04
3.9168489,3.9168489,2022-01-04
2.8502209,2.8502209,2022-01-04
2.0071457,2.0071457,2022-01-04
-1.72976646,-1.72976646,2022-01-04
-3.436019,-3.436019,2022-01-04
-7.92328452,-7.92328452,2022-01-04
-8.0046019,-8.0046019,2022-01-04
-8.3582931,-8.3582931,2022-01-04
-11.3155635,-11.3155635,2022-01-04
-10.393233,-10.393233,2022-01-04
-8.1879691,-8.1879691,2022-01-04
-7.1067702,-7.1067702,2022-01-04
-2.9528084,-2.9528084,2022-01-04
-3.7854122,-3.7854122,2022-01-04
-2.473330325,-2.473330325,2022-01-04
,,2022-01-04
2.297651,2.297651,2022-01-04
2.9815827,2.9815827,2022-01-04
3.51190205,3.51190205,2022-01-04
3.5866593,3.5866593,2022-01-04
4.8008469,4.8008469,2022-01-04
4.7808782,4.7808782,2022-01-04
5.2269304,5.2269304,2022-01-04
5.2186272,5.2186272,2022-01-04
5.3275939,5.3275939,2022-01-04
5.3455393,5.3455393,2022-01-04
5.88895092,5.88895092,2022-01-04
4.5600299,4.5600299,2022-01-04
4.37424813,4.37424813,2022-01-04
4.22825991,4.22825991,2022-01-04
4.12905838,4.12905838,2022-01-04
4.4892935,4.4892935,2022-01-04
6.9967145,,2022-01-04
7.58993981,,2022-01-05
2.8722026,2.8722026,2022-01-05
11.3321904,,2022-01-05
-0.4873753,,2022-01-05
1.2986836,1.2986836,2022-01-05
1.5823891,1.5823891,2022-01-05
2.0331503,,2022-01-05
1.96793667,1.96793667,2022-01-05
1.6922655,1.6922655,2022-01-05
1.2773154,1.2773154,2022-01-05
1.3240729,1.3240729,2022-01-05
1.0575021,1.0575021,2022-01-05
1.1167931,1.1167931,2022-01-05
2.293426,,2022-01-05
3.4076582,3.4076582,2022-01-05
3.5821158,3.5821158,2022-01-05
4.93140062,4.93140062,2022-01-05
2.26832288,2.26832288,2022-01-05
2.9516936,2.9516936,2022-01-05
,,2022-01-05
0.8143531,0.8143531,2022-01-05
-2.54113344,-2.54113344,2022-01-05
-3.6887266,-3.6887266,2022-01-05
-6.7828992,-6.7828992,2022-01-05
-4.7951167,-4.7951167,2022-01-05
-6.1192462,-6.1192462,2022-01-05
-7.7154212,-7.7154212,2022-01-05
-5.28678741,-5.28678741,2022-01-05
-4.9128754,-4.9128754,2022-01-05
-2.3147357,-2.3147357,2022-01-05
-2.6122085,-2.6122085,2022-01-05
-0.562167,,2022-01-05
1.0160629,,2022-01-05
3.489273,,2022-01-05
1.636436,,2022-01-05
4.715857,,2022-01-05
-4.582769,,2022-01-05
1.164711,,2022-01-05
,,2022-01-05
1.782982,,2022-01-05
-2.550639,,2022-01-05
,,2022-01-05
,,2022-01-05
1.35231,,2022-01-05
3.92753,,2022-01-05
1.888295,,2022-01-05
1.891239,,2022-01-05
,,2022-01-05
0.6291844,,2022-01-06
1.570412,1.570412,2022-01-06
1.486184,,2022-01-06
0.491673,,2022-01-06
1.6074272,1.6074272,2022-01-06
1.145954,1.145954,2022-01-06
1.896159,1.896159,2022-01-06
1.3605872,,2022-01-06
1.2772536,,2022-01-06
2.10853,,2022-01-06
1.1929021,1.1929021,2022-01-06
-1.3863277,,2022-01-06
1.184594,1.184594,2022-01-06
5.247945,,2022-01-06
,,2022-01-06
,,2022-01-06
0.966549,,2022-01-06
,,2022-01-06
0.547396,,2022-01-06
-1.114991,,2022-01-06
-2.082331,-2.082331,2022-01-06
-4.634458,-4.634458,2022-01-06
-2.8626549,,2022-01-06
-6.763248,,2022-01-06
-4.364031,-4.364031,2022-01-06
-5.671601,-5.671601,2022-01-06
-5.6730596,-5.6730596,2022-01-06
-3.662001,-3.662001,2022-01-06
-4.7530504,-4.7530504,2022-01-06
-3.0889616,-3.0889616,2022-01-06
-3.040874,,2022-01-06
-1.5006615,,2022-01-06
-0.588713,,2022-01-06
0.927515,0.927515,2022-01-06
2.695645,,2022-01-06
3.478166,,2022-01-06
1.520442,,2022-01-06
1.265747,,2022-01-06
5.1134001,,2022-01-06
,,2022-01-06
0.983611,,2022-01-06
,,2022-01-06
,,2022-01-06
0.904573,,2022-01-06
2.204412,,2022-01-06
1.1268388,,2022-01-06
2.6804309,,2022-01-06
,,2022-01-06
2.4808,,2022-01-07
2.0036936,,2022-01-07
1.8392976,,2022-01-07
,,2022-01-07
1.478131,,2022-01-07
1.504103,1.504103,2022-01-07
,,2022-01-07
,,2022-01-07
0.248195,,2022-01-07
1.530255,1.530255,2022-01-07
2.376561,2.376561,2022-01-07
1.817474,1.817474,2022-01-07
1.847163,,2022-01-07
2.053896,2.053896,2022-01-07
1.9533233,1.9533233,2022-01-07
2.8563571,2.8563571,2022-01-07
5.958094,,2022-01-07
1.113956,1.113956,2022-01-07
2.592245,,2022-01-07
0.463202,,2022-01-07
-1.770796,-1.770796,2022-01-07
-4.168549,-4.168549,2022-01-07
-3.0119395,-3.0119395,2022-01-07
-3.8613865,-3.8613865,2022-01-07
-2.2292691,-2.2292691,2022-01-07
-1.84490996,-1.84490996,2022-01-07
,,2022-01-07
-1.750417,-1.750417,2022-01-07
-2.373869,-2.373869,2022-01-07
-0.95238,-0.95238,2022-01-07
-1.6765795,-1.6765795,2022-01-07
-0.5576914,-0.5576914,2022-01-07
0.9885741,0.9885741,2022-01-07
2.7079644,2.7079644,2022-01-07
1.7504845,1.7504845,2022-01-07
2.7864989,,2022-01-07
3.4019286,3.4019286,2022-01-07
1.5205872,1.5205872,2022-01-07
1.61678889,1.61678889,2022-01-07
1.9128008,1.9128008,2022-01-07
2.245253,2.245253,2022-01-07
1.9077082,1.9077082,2022-01-07
1.8299913,1.8299913,2022-01-07
1.6804051,1.6804051,2022-01-07
1.44873691,1.44873691,2022-01-07
0.8007496,,2022-01-07
1.3914062,1.3914062,2022-01-07
1.611506,1.611506,2022-01-07
1.1078251,1.1078251,2022-01-08
1.24043,1.24043,2022-01-08
1.5257029,1.5257029,2022-01-08
2.049136,2.049136,2022-01-08
5.5718196,,2022-01-08
1.2559972,1.2559972,2022-01-08
1.5854619,1.5854619,2022-01-08
1.3089012,1.3089012,2022-01-08
2.111453,2.111453,2022-01-08
1.4230368,1.4230368,2022-01-08
1.4008689,1.4008689,2022-01-08
3.0970712,,2022-01-08
2.2717424,2.2717424,2022-01-08
1.3327417,,2022-01-08
1.1981589,,2022-01-08
-1.7175354,,2022-01-08
,,2022-01-08
,,2022-01-08
-5.310665,-5.310665,2022-01-08
-3.7779369,-3.7779369,2022-01-08
